Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2015,11,1,0.4,0.2,0.4,0.4,28.8,33.5,26.1,6,23.4
Marina Barrage,2015,11,2,0,0,0,0,28.6,32.9,26.9,5.7,24.5
Marina Barrage,2015,11,3,0,0,0,0,29.3,34,26.6,6.2,19.8
Marina Barrage,2015,11,4,0.4,0.4,0.4,0.4,29.2,32.8,26.5,5.2,20.2
Marina Barrage,2015,11,5,0,0,0,0,29.6,33.3,26.8,4.8,18.4
Marina Barrage,2015,11,6,0,0,0,0,29.8,33.8,27.6,5.7,24.8
Marina Barrage,2015,11,7,1.8,1,1,1,28.2,32.1,25.2,6.1,29.5
Marina Barrage,2015,11,8,0,0,0,0,28.4,31.7,26.4,4.3,25.9
Marina Barrage,2015,11,9,0,0,0,0,28.6,32.6,26.1,5.2,23.4
Marina Barrage,2015,11,10,0,0,0,0,29.4,34,26.9,5,20.5
Marina Barrage,2015,11,11,0,0,0,0,28.3,32.8,26,6.7,25.2
Marina Barrage,2015,11,12,0,0,0,0,29,33.6,26.6,6,30.2
Marina Barrage,2015,11,13,0,0,0,0,29.5,34.3,27.5,4.2,27.4
Marina Barrage,2015,11,14,0.2,0.2,0.2,0.2,29.5,33.3,26.9,5.9,21.2
Marina Barrage,2015,11,15,0.6,0.4,0.4,0.6,29.1,32.6,27.4,4.8,24.5
Marina Barrage,2015,11,16,54.4,34.2,46.2,52.8,26.5,28.8,24.9,7.9,28.1
Marina Barrage,2015,11,17,14.6,6,8.4,13,27.7,31.4,23.6,4.5,28.1
Marina Barrage,2015,11,18,0,0,0,0,29.4,33.3,26.4,6.4,19.8
Marina Barrage,2015,11,19,0,0,0,0,29.5,32.6,27.5,4.4,17.3
Marina Barrage,2015,11,20,1.2,0.8,0.8,0.8,28.1,33.3,26.4,5.2,31
Marina Barrage,2015,11,21,0,0,0,0,28.4,32.9,25.9,6,22
Marina Barrage,2015,11,22,2.2,2.2,2.2,2.2,28.5,31.9,25.8,5.1,19.8
Marina Barrage,2015,11,23,0,0,0,0,29.6,33.8,26.8,5.3,19.8
Marina Barrage,2015,11,24,3.8,2,2.8,3.4,27.9,31.4,25.6,5.4,30.2
Marina Barrage,2015,11,25,42.6,34.2,40.8,42.2,27.7,34,24.6,7,28.1
Marina Barrage,2015,11,26,18,8.2,10.2,11.4,27.2,31.9,24.9,8.1,76
Marina Barrage,2015,11,27,0,0,0,0,28.3,33,25.3,6.3,29.5
Marina Barrage,2015,11,28,0,0,0,0,29.4,34.4,26.2,5.4,24.1
Marina Barrage,2015,11,29,0.4,0.4,0.4,0.4,29.2,33.4,25.7,5.5,26.6
Marina Barrage,2015,11,30,30,27.8,29.2,29.2,27.7,31.9,24.2,6,30.2
