Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,2015,5,1,0,0,0,0,28.3,31.8,26.3,4.7,22.7
Sentosa Island,2015,5,2,16.2,11,15.2,16.2,28,30.2,24.8,3.8,23.8
Sentosa Island,2015,5,3,49.4,16,26.6,42.4,27,28.9,24.4,6.1,38.9
Sentosa Island,2015,5,4,0,0,0,0,28.6,31.3,27.2,5.3,22.3
Sentosa Island,2015,5,5,0,0,0,0,29.1,32.5,26.4,4.6,16.9
Sentosa Island,2015,5,6,10,8.6,9.8,10,28.6,31.6,24.2,4.9,32.4
Sentosa Island,2015,5,7,0,0,0,0,28.9,32.3,27.7,6.1,24.8
Sentosa Island,2015,5,8,20.4,19,20.4,20.4,28.5,31.2,24.5,6.2,33.8
Sentosa Island,2015,5,9,0,0,0,0,28.8,31.9,26.8,6.8,20.5
Sentosa Island,2015,5,10,0,0,0,0,29,32,27.3,6.3,34.9
Sentosa Island,2015,5,11,0,0,0,0,29.6,32.2,28,8.4,27
Sentosa Island,2015,5,12,0,0,0,0,28.9,32.3,27.2,6.6,43.9
Sentosa Island,2015,5,13,0,0,0,0,29.2,32.3,27.9,5.7,25.2
Sentosa Island,2015,5,14,0,0,0,0,29.2,32.3,27.2,6.7,23.8
Sentosa Island,2015,5,15,1,0.6,0.6,0.8,27.4,29.5,26.2,4.1,23
Sentosa Island,2015,5,16,0,0,0,0,28.3,30.9,26.9,5.4,23.4
Sentosa Island,2015,5,17,0,0,0,0,29.2,31.9,27.3,5.4,29.5
Sentosa Island,2015,5,18,0.4,0.4,0.4,0.4,28.9,32,27,4.9,26.6
Sentosa Island,2015,5,19,0.4,0.2,0.2,0.2,29.3,32.1,27.5,5.6,23.4
Sentosa Island,2015,5,20,3.2,1.4,1.4,1.6,28.5,31,26.6,5.7,38.5
Sentosa Island,2015,5,21,0,0,0,0,29.4,33,27.8,6.3,23
Sentosa Island,2015,5,22,0,0,0,0,28.6,30.8,27.8,5.9,28.1
Sentosa Island,2015,5,23,36.2,20.2,26.4,27.8,26.7,28.2,24.2,4.1,27.4
Sentosa Island,2015,5,24,0,0,0,0,28.5,31.6,26.2,4.6,26.3
Sentosa Island,2015,5,25,0,0,0,0,28.6,32.1,27.1,5.4,31.7
Sentosa Island,2015,5,26,20.2,20,20.2,20.2,28.8,32.9,25.2,5.5,28.4
Sentosa Island,2015,5,27,0,0,0,0,28.5,31.4,26.4,5.7,27.7
Sentosa Island,2015,5,28,0,0,0,0,29.2,32.7,27.1,6.1,23.8
Sentosa Island,2015,5,29,0,0,0,0,29.5,32.4,28.1,7.8,30.6
Sentosa Island,2015,5,30,0,0,0,0,29.6,32.6,27.9,8,25.9
Sentosa Island,2015,5,31,0,0,0,0,29.5,33.1,27.7,5.7,26.3
