Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2014,8,1,0,0,0,0,27.9,33,25.3,3.2,31.3
Pulau Ubin,2014,8,2,3.4,3,3.4,3.4,27.9,32.2,23.6,4,33.5
Pulau Ubin,2014,8,3,0,0,0,0,28.3,32.8,25.8,3.7,25.9
Pulau Ubin,2014,8,4,0.2,0.2,0.2,0.2,28.1,33.1,25.8,3.6,34.9
Pulau Ubin,2014,8,5,19.6,10.2,13,13.2,25.8,27.7,23.2,3.8,47.2
Pulau Ubin,2014,8,6,0.6,0.4,0.4,0.4,27.3,30.7,24.8,2.9,45.7
Pulau Ubin,2014,8,7,1,0.8,1,1,27.2,32.9,24.8,3.3,34.9
Pulau Ubin,2014,8,8,0,0,0,0,27.1,30.8,24.7,2.9,33.8
Pulau Ubin,2014,8,9,0,0,0,0,28.2,33.1,25.1,4.4,25.6
Pulau Ubin,2014,8,10,2.6,2.6,2.6,2.6,27.6,31.8,25.2,3.5,41.4
Pulau Ubin,2014,8,11,0,0,0,0,27.4,33.5,25,3.5,24.1
Pulau Ubin,2014,8,12,4,1.6,2,3.4,26,29.3,23.8,3.3,99.4
Pulau Ubin,2014,8,13,1.6,0.6,0.8,1.4,25.7,28.4,24.2,3.1,18.7
Pulau Ubin,2014,8,14,11,6.8,10.4,11,26.1,30.7,24.4,3.2,29.9
Pulau Ubin,2014,8,15,1,1,1,1,25.5,29.1,24.3,3.1,24.5
Pulau Ubin,2014,8,16,0,0,0,0,27.4,31.7,25,3,19.1
Pulau Ubin,2014,8,17,0.2,0.2,0.2,0.2,27.7,31.5,25.5,3.2,21.6
Pulau Ubin,2014,8,18,11.8,11.6,11.6,11.8,28,32.4,25.7,3.9,30.2
Pulau Ubin,2014,8,19,0,0,0,0,27.4,32.3,24.9,3.5,24.5
Pulau Ubin,2014,8,20,26.6,21.4,25.8,26.4,26.7,31.8,24.6,3.3,22.7
Pulau Ubin,2014,8,21,0.2,0.2,0.2,0.2,27.3,32.5,25.4,3.2,66.2
Pulau Ubin,2014,8,22,0,0,0,0,28,32.1,25.4,3.6,21.6
Pulau Ubin,2014,8,23,3.8,2.8,3.2,3.8,27.9,32.2,25.5,3,20.2
Pulau Ubin,2014,8,24,1.8,1,1.8,1.8,26.9,32.3,25,3.6,35.3
Pulau Ubin,2014,8,25,12.8,7.8,7.8,7.8,25.8,30.9,23.7,3.2,31
Pulau Ubin,2014,8,26,22,14.8,20.4,21.4,26.4,30.2,24.1,3.4,20.9
Pulau Ubin,2014,8,27,4.6,2,3.4,4.4,26.5,31.8,23.1,3.9,81.4
Pulau Ubin,2014,8,28,13,10.2,12,13,25.7,29.1,23.5,3.1,37.1
Pulau Ubin,2014,8,29,21.8,17.8,21.8,21.8,26.6,31.1,23.1,3.4,72.4
Pulau Ubin,2014,8,30,0.2,0.2,0.2,0.2,26.8,32.4,23.9,3.4,64.4
Pulau Ubin,2014,8,31,13.4,5.4,5.6,9.6,26.5,28.9,24.6,2.9,22.7
