Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2016,11,1,18.2,—,—,—,27.1,30.2,24.3,6.8,38.9
Seletar,2016,11,2,7.8,—,—,—,27.6,31.2,23,9.7,51.8
Seletar,2016,11,3,19.2,—,—,—,27.9,32.7,24.9,9,40.7
Seletar,2016,11,4,0.2,—,—,—,28.6,33.3,26.1,6.8,27.7
Seletar,2016,11,5,3.2,—,—,—,27.4,29.6,25.6,8.3,33.5
Seletar,2016,11,6,0.2,—,—,—,28.9,33.6,25.9,7.6,27.7
Seletar,2016,11,7,2.8,—,—,—,27.4,30.7,25.6,6.1,31.3
Seletar,2016,11,8,0,—,—,—,29.4,35.4,25,6.8,24.1
Seletar,2016,11,9,17,—,—,—,28.7,32.8,24.7,6.5,33.5
Seletar,2016,11,10,9.8,—,—,—,28.2,33.2,24.5,6.8,38.9
Seletar,2016,11,11,7.4,—,—,—,26.7,30.8,24.6,5.8,44.3
Seletar,2016,11,12,2,—,—,—,27.8,32.5,25.2,7.9,37.1
Seletar,2016,11,13,0,—,—,—,28.1,31.1,25.6,7.6,25.9
Seletar,2016,11,14,20.4,—,—,—,25.6,27.5,24.1,6.1,46.4
Seletar,2016,11,15,0,—,—,—,27.7,32.8,24.3,10.1,31.3
Seletar,2016,11,16,6,—,—,—,27.2,31.6,23.5,9,42.5
Seletar,2016,11,17,3.2,—,—,—,27.8,33.4,25.4,7.2,27.7
Seletar,2016,11,18,1.2,—,—,—,27.9,33.4,25.5,7.2,40.7
Seletar,2016,11,19,5,—,—,—,28,32,24.9,7.2,33.5
Seletar,2016,11,20,1.8,—,—,—,28.3,32.3,26.3,6.1,27.7
Seletar,2016,11,21,0.2,—,—,—,28.8,33,25.9,8.3,33.5
Seletar,2016,11,22,0,—,—,—,28.1,30.2,26,7.6,29.5
Seletar,2016,11,23,1.2,—,—,—,28.4,32.1,24.5,7.9,50
Seletar,2016,11,24,2.2,—,—,—,27.9,33.2,25.6,8.6,35.3
Seletar,2016,11,25,19.8,—,—,—,28,33.6,25.2,7.6,33.5
Seletar,2016,11,26,20.4,—,—,—,27.4,32.1,25.8,6.8,37.1
Seletar,2016,11,27,0,—,—,—,27.6,30.3,24.9,10.1,37.1
Seletar,2016,11,28,0,—,—,—,28.1,30.5,26.5,10.1,33.5
Seletar,2016,11,29,0.4,—,—,—,26.7,28.4,25.3,7.9,31.3
Seletar,2016,11,30,0,—,—,—,28.6,33.3,25,9.4,33.5
