Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,2013,9,1,0,—,—,—,27.2,31.7,23.7,9.1,35.3
Tengah,2013,9,2,5.2,—,—,—,27,32.4,23.4,8.9,33.5
Tengah,2013,9,3,8.7,—,—,—,26.7,31.2,23.8,5.5,18.4
Tengah,2013,9,4,6.3,—,—,—,26.2,30.2,23.6,5.1,16.6
Tengah,2013,9,5,31.8,—,—,—,25.8,29,22.9,8.6,37.1
Tengah,2013,9,6,28.8,—,—,—,26.5,30.7,21.8,7.2,22.3
Tengah,2013,9,7,2.8,—,—,—,25.8,29.8,22.1,8,22.3
Tengah,2013,9,8,0.9,—,—,—,26.4,31.3,23.3,8.2,25.9
Tengah,2013,9,9,1.3,—,—,—,26.4,30.6,23.8,10.2,38.9
Tengah,2013,9,10,20.6,—,—,—,25.6,27.9,22.3,7.9,33.5
Tengah,2013,9,11,22.6,—,—,—,27.2,31.8,23,9.7,27.7
Tengah,2013,9,12,0.6,—,—,—,28.2,33,23.9,10.2,29.5
Tengah,2013,9,13,0,—,—,—,27.9,31.5,24.5,10,31.3
Tengah,2013,9,14,20,—,—,—,28.1,32.3,23.5,8.8,27.7
Tengah,2013,9,15,30.2,—,—,—,25.2,28.5,22.8,7.9,33.5
Tengah,2013,9,16,0,—,—,—,27.3,31.6,23.5,7.9,22.3
Tengah,2013,9,17,8.2,—,—,—,26.8,30.7,24.5,9.1,33.5
Tengah,2013,9,18,0,—,—,—,28.4,32.4,24.2,9.6,22.3
Tengah,2013,9,19,0,—,—,—,28.6,33.2,24.6,10,29.5
Tengah,2013,9,20,0,—,—,—,29,33.2,24.7,9.9,24.1
Tengah,2013,9,21,0,—,—,—,28.7,32.6,24.6,13.8,31.3
Tengah,2013,9,22,0,—,—,—,29,32.9,24.6,12.7,35.3
Tengah,2013,9,23,0,—,—,—,29.1,33.6,24.1,10.1,31.3
Tengah,2013,9,24,0,—,—,—,29.2,33.6,25.3,12.5,33.5
Tengah,2013,9,25,19.3,—,—,—,26.6,29.1,22.3,6.1,51.8
Tengah,2013,9,26,24.5,—,—,—,25.6,27.6,22.2,5.9,42.5
Tengah,2013,9,27,0.1,—,—,—,27.6,31.5,24.1,7.4,22.3
Tengah,2013,9,28,21,—,—,—,27.5,31.6,22.4,6.4,31.3
Tengah,2013,9,29,0.9,—,—,—,27.2,32.1,22.8,7.7,35.3
Tengah,2013,9,30,0,—,—,—,—,30.9,23.8,9.7,24.1
