Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Newton,2012,6,1,0,—,—,—,27.5,30,24.4,5.9,34.6
Newton,2012,6,2,7.4,—,—,—,28.3,30.6,26.5,5.7,29.5
Newton,2012,6,3,0,—,—,—,28.3,31.1,26.3,6,22
Newton,2012,6,4,8.2,—,—,—,28.9,32,27.3,5.6,25.9
Newton,2012,6,5,3.2,—,—,—,29,32,27.4,6.5,25.6
Newton,2012,6,6,0,—,—,—,28.7,31.9,24.7,8.9,47.2
Newton,2012,6,7,0,—,—,—,29.8,32.7,28.3,8.2,37.1
Newton,2012,6,8,33.8,—,—,—,28.6,30.7,27.4,6.3,37.4
Newton,2012,6,9,0.4,—,—,—,26.2,28.7,22.9,8.7,41.4
Newton,2012,6,10,0,—,—,—,28.6,31.4,26.6,8.5,32.8
Newton,2012,6,11,0,—,—,—,28.7,31.1,27.7,9.2,38.9
Newton,2012,6,12,0,—,—,—,28.5,31.3,27.7,9.3,34.2
Newton,2012,6,13,0,—,—,—,29.2,33,27.2,8.6,31
Newton,2012,6,14,0,—,—,—,29.3,33.1,27.5,9.3,33.1
Newton,2012,6,15,0,—,—,—,29.4,33.2,27.4,8,33.1
Newton,2012,6,16,0,—,—,—,29.1,32.8,27.4,9.7,32.4
Newton,2012,6,17,0,—,—,—,29,31.9,27.2,11.2,37.8
Newton,2012,6,18,0,—,—,—,29,32,27.4,10,38.9
Newton,2012,6,19,0.8,—,—,—,28.5,30.2,27.3,8.3,34.2
Newton,2012,6,20,1.6,—,—,—,28.7,31.7,27.3,8.8,29.9
Newton,2012,6,21,4.8,—,—,—,27.6,30.8,25.9,9.2,34.9
Newton,2012,6,22,0,—,—,—,28.7,32.7,25.8,9.1,33.8
Newton,2012,6,23,0,—,—,—,29.3,33.1,27.5,9.2,33.8
Newton,2012,6,24,0,—,—,—,29.2,32,27.7,9.5,35.3
Newton,2012,6,25,0,—,—,—,28.6,31.9,27.7,9.7,35.6
Newton,2012,6,26,0,—,—,—,28.7,31.5,27.4,7.9,31.7
Newton,2012,6,27,1.6,—,—,—,27.7,29.6,24.6,7.5,27.7
Newton,2012,6,28,0,—,—,—,28,30.7,25.6,7.5,32.8
Newton,2012,6,29,0,—,—,—,28.5,30.8,27.4,10.2,43.9
Newton,2012,6,30,3.4,—,—,—,27.8,30.3,24.9,8.1,42.1
