Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2019,2,1,0,0,0,0,28.5,33.7,25.8,6.1,32
Tuas South,2019,2,2,0,0,0,0,28.4,31.6,26.2,5.8,23
Tuas South,2019,2,3,10,4.2,6.6,8.8,27.7,32.3,26.1,6.1,31.3
Tuas South,2019,2,4,31.2,18.6,28.6,31.2,27.4,32.4,24.2,5.8,37.4
Tuas South,2019,2,5,0.2,0.2,0.2,0.2,28,32.1,25.6,6.1,22
Tuas South,2019,2,6,0,0,0,0,28.5,33.6,25,5.8,20.5
Tuas South,2019,2,7,0,0,0,0,28.3,32.4,25.7,6.5,21.6
Tuas South,2019,2,8,0,0,0,0,28.9,33.4,26.2,6.8,20.9
Tuas South,2019,2,9,6.2,6.2,6.2,6.2,28.7,33,26.4,5.8,23
Tuas South,2019,2,10,0.2,0.2,0.2,0.2,28.6,32.8,26.6,6.5,33.5
Tuas South,2019,2,11,0,0,0,0,28.5,33.1,25.3,6.8,25.9
Tuas South,2019,2,12,0,0,0,0,28.3,33.4,25.4,7.2,23
Tuas South,2019,2,13,0,0,0,0,28.9,32.1,26.8,7.2,22
Tuas South,2019,2,14,0,0,0,0,29.4,33.6,27.2,7.2,26.3
Tuas South,2019,2,15,1.6,1.6,1.6,1.6,28,31.8,26.2,5.4,20.9
Tuas South,2019,2,16,0,0,0,0,28.4,33.9,25.4,6.5,20.5
Tuas South,2019,2,17,0,0,0,0,28.4,32.3,26.6,5,20.2
Tuas South,2019,2,18,14,12.2,13.6,14,27.2,29.8,23.3,4.7,50.8
Tuas South,2019,2,19,0.2,0.2,0.2,0.2,27.7,30,26.1,2.9,16.2
Tuas South,2019,2,20,5,4.8,4.8,4.8,27.7,30.5,24.9,4.3,22.7
Tuas South,2019,2,21,0,0,0,0,29.3,33.9,25.9,6.1,22.3
Tuas South,2019,2,22,5.4,5.4,5.4,5.4,28.2,33.3,26,5.8,22
Tuas South,2019,2,23,0,0,0,0,28.5,31.9,25.8,6.5,22.3
Tuas South,2019,2,24,0,0,0,0,28.6,32.2,25.8,6.5,20.9
Tuas South,2019,2,25,0,0,0,0,29.2,33.4,26.2,4.7,22
Tuas South,2019,2,26,0,0,0,0,29.3,33.6,26.8,5.8,23.8
Tuas South,2019,2,27,0,0,0,0,29,33.5,26.7,7.2,26.3
Tuas South,2019,2,28,1.8,1.8,1.8,1.8,28.4,32.4,26.6,4.7,29.9
