Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2016,10,1,0.2,0.2,0.2,0.2,28.6,32.4,26.5,15.1,43.6
Marina Barrage,2016,10,2,0,0,0,0,29.9,33.3,27.2,13,38.2
Marina Barrage,2016,10,3,7.6,5.6,6.2,6.4,28.3,31.1,23.4,14,51.1
Marina Barrage,2016,10,4,0,0,0,0,29.6,33.1,27.2,14.4,32.4
Marina Barrage,2016,10,5,14.4,14.2,14.2,14.2,29.5,32.1,26.4,14.8,39.6
Marina Barrage,2016,10,6,14.8,10.4,14.6,14.8,28.3,30.2,24.4,14.8,39.6
Marina Barrage,2016,10,7,36.8,17.4,19.8,21,26.3,28.5,24,13.3,47.2
Marina Barrage,2016,10,8,0,0,0,0,28.7,32.1,25.5,14.8,36
Marina Barrage,2016,10,9,18.4,17,18.2,18.2,28.6,32.4,23.9,11.5,36
Marina Barrage,2016,10,10,0,0,0,0,30.2,34.4,27.2,15.8,38.2
Marina Barrage,2016,10,11,0,0,0,0,31,34.6,28.3,13.7,42.1
Marina Barrage,2016,10,12,0,0,0,0,30.2,34.1,27.9,13.7,42.1
Marina Barrage,2016,10,13,1.6,1.6,1.6,1.6,29.9,31.7,27.4,13,43.6
Marina Barrage,2016,10,14,32.8,21.8,29.4,30.8,28.7,31.2,23,13.7,38.9
Marina Barrage,2016,10,15,0,0,0,0,30,33.6,27.2,14.4,37.1
Marina Barrage,2016,10,16,10.2,6,8.2,9,28.8,32.6,25.3,13.7,58.3
Marina Barrage,2016,10,17,0,0,0,0,29.3,31,28.1,14,54.4
Marina Barrage,2016,10,18,0,0,0,0,30.1,33.9,27.3,10.4,37.4
Marina Barrage,2016,10,19,9.2,7.6,8.6,8.6,28,31.2,23.4,13,52.6
Marina Barrage,2016,10,20,0,0,0,0,29.6,33.4,27.1,12.6,31.3
Marina Barrage,2016,10,21,0,0,0,0,29.7,33.2,27.1,11.2,38.5
Marina Barrage,2016,10,22,0.2,0.2,0.2,0.2,29.2,31.9,25.3,14,44.3
Marina Barrage,2016,10,23,0.8,0.4,0.6,0.6,28.8,32.3,27,15.5,35.6
Marina Barrage,2016,10,24,10.8,8.4,9.6,9.8,27.7,29.9,24.1,18,44.6
Marina Barrage,2016,10,25,31.8,23.2,25.8,27.2,27.4,32,23.6,12.6,41.4
Marina Barrage,2016,10,26,1.4,0.8,1.2,1.4,27.9,32,25,14,38.5
Marina Barrage,2016,10,27,13.6,11.8,12,13,26.9,30.2,24.5,18.7,51.1
Marina Barrage,2016,10,28,0.4,0.4,0.4,0.4,28.1,32.5,25.5,15.5,40
Marina Barrage,2016,10,29,49.8,24.6,27.4,28.2,27.4,30.4,23.6,14.4,48.2
Marina Barrage,2016,10,30,1,0.8,0.8,0.8,28,31.1,24.7,11.5,38.2
Marina Barrage,2016,10,31,0,0,0,0,29.1,32.6,26.3,15.1,36.7
