Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,2014,1,1,0,0,0,0,27,29.3,25.3,7.7,27.4
Sentosa Island,2014,1,2,0,0,0,0,27.7,31.5,25.5,8.3,32
Sentosa Island,2014,1,3,12,12,12,12,27.1,30.9,25,6.7,34.6
Sentosa Island,2014,1,4,21.8,10.2,18,20.2,26.4,31.4,24.2,4.3,22.3
Sentosa Island,2014,1,5,6,2.4,2.4,3.2,25.1,26.6,23.6,5.3,30.6
Sentosa Island,2014,1,6,19.4,3.4,4.6,6.2,25.3,26.7,23.8,4.4,23
Sentosa Island,2014,1,7,0,0,0,0,26.6,30.7,24.4,4.8,20.5
Sentosa Island,2014,1,8,0,0,0,0,27.7,32.1,25.3,6.9,27.4
Sentosa Island,2014,1,9,0,0,0,0,26.4,28.9,24.7,4.4,28.4
Sentosa Island,2014,1,10,0,0,0,0,27.1,30.1,24.4,4.8,18.4
Sentosa Island,2014,1,11,25.2,23,24,24.8,26.9,32.6,24.5,7.3,35.3
Sentosa Island,2014,1,12,0.4,0.4,0.4,0.4,26.6,28.9,25.4,8.9,33.1
Sentosa Island,2014,1,13,0,0,0,0,27.1,30.1,25.4,10.3,41.4
Sentosa Island,2014,1,14,0,0,0,0,26.9,30.2,25,8.7,33.1
Sentosa Island,2014,1,15,0,0,0,0,26.1,28.7,25,9.5,35.3
Sentosa Island,2014,1,16,0,0,0,0,26.3,29.1,24.6,10.1,35.3
Sentosa Island,2014,1,17,0,0,0,0,26.4,29.6,24.3,10.2,35.3
Sentosa Island,2014,1,18,0,0,0,0,26.3,29.2,24.5,10.9,42.8
Sentosa Island,2014,1,19,0,0,0,0,26.3,29.4,24,8.2,32
Sentosa Island,2014,1,20,0,0,0,0,26.2,30.4,24.4,9.8,39.2
Sentosa Island,2014,1,21,0,0,0,0,26.2,29.6,24.3,10.6,32.8
Sentosa Island,2014,1,22,0,0,0,0,25.8,29,23.9,9.9,39.2
Sentosa Island,2014,1,23,0,0,0,0,26,29.9,24,10.2,33.5
Sentosa Island,2014,1,24,0,0,0,0,25.9,28.7,24,10.1,34.9
Sentosa Island,2014,1,25,0,0,0,0,26.1,29.7,24.3,9.8,30.2
Sentosa Island,2014,1,26,0,0,0,0,26,29.8,23.8,9.2,32.4
Sentosa Island,2014,1,27,0,0,0,0,26.1,29.9,24,10.7,34.6
Sentosa Island,2014,1,28,0,0,0,0,26.7,30.3,24.7,10.2,35.6
Sentosa Island,2014,1,29,0,0,0,0,26.9,30.6,24.5,10.4,38.9
Sentosa Island,2014,1,30,0,0,0,0,26.3,30.8,23.7,9.9,36.7
Sentosa Island,2014,1,31,0,0,0,0,26.7,31.2,24.1,10,32.4
