Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2012,6,1,0,—,—,—,27.7,29.2,24.4,7.9,34.6
Tuas South,2012,6,2,0,—,—,—,29.1,31.2,27.5,5.7,18
Tuas South,2012,6,3,0,—,—,—,28.8,31.3,26.4,4,16.9
Tuas South,2012,6,4,0,—,—,—,29.3,31.4,27.8,4,13.7
Tuas South,2012,6,5,3.2,—,—,—,29.5,31,27.6,5.1,14.4
Tuas South,2012,6,6,0,—,—,—,29.5,31.7,25.7,18,52.9
Tuas South,2012,6,7,0,—,—,—,30.4,32.5,29.1,10.5,29.9
Tuas South,2012,6,8,92.2,—,—,—,29.1,31.3,26.9,5.9,25.9
Tuas South,2012,6,9,0.4,—,—,—,27.1,29,23,10.6,40.3
Tuas South,2012,6,10,0,—,—,—,29.2,32.5,27.1,8.4,25.2
Tuas South,2012,6,11,0,—,—,—,29.3,31.3,27.8,5.3,24.1
Tuas South,2012,6,12,0,—,—,—,29.3,31.3,28.2,6.5,19.8
Tuas South,2012,6,13,0,—,—,—,29.9,33,27.8,6.1,19.8
Tuas South,2012,6,14,0,—,—,—,30,33.3,27.5,5.8,23
Tuas South,2012,6,15,0,—,—,—,29.9,33.1,27.7,6,26.6
Tuas South,2012,6,16,0,—,—,—,29.9,33,27.6,6.3,26.6
Tuas South,2012,6,17,0,—,—,—,29.8,32.5,27.8,6.8,27
Tuas South,2012,6,18,0,—,—,—,29.8,32.8,27.5,7.3,28.4
Tuas South,2012,6,19,0,—,—,—,29.3,31.9,27.2,7.3,21.2
Tuas South,2012,6,20,0,—,—,—,29.6,32.6,27.5,6.3,22
Tuas South,2012,6,21,0,—,—,—,28.8,32.1,27.5,5.4,27
Tuas South,2012,6,22,0,—,—,—,29.5,33.5,26.4,5.5,24.8
Tuas South,2012,6,23,0,—,—,—,30,33.4,27.8,6.2,23
Tuas South,2012,6,24,0,—,—,—,30,33.8,27.8,6,32.4
Tuas South,2012,6,25,0,—,—,—,29.5,32.5,28,6.5,32.4
Tuas South,2012,6,26,0,—,—,—,29.5,33,27.9,6.3,30.2
Tuas South,2012,6,27,24.8,—,—,—,27.6,30.3,23.9,5.1,31.3
Tuas South,2012,6,28,0,—,—,—,28.5,30.7,25.9,7.9,41
Tuas South,2012,6,29,0,—,—,—,29.3,32.3,27.4,6.3,27
Tuas South,2012,6,30,82.8,—,—,—,27.5,30.7,22.4,5,51.5
