Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,2013,5,1,6.5,—,—,—,—,32.2,24.8,8.3,24.1
Tengah,2013,5,2,30.5,—,—,—,27.8,32.8,25.1,6.6,37.1
Tengah,2013,5,3,10.5,—,—,—,27.7,32.2,23.8,6,24.1
Tengah,2013,5,4,0,—,—,—,29,33.4,25.1,9.1,33.5
Tengah,2013,5,5,51.8,—,—,—,—,30.8,24,5.3,42.5
Tengah,2013,5,6,1.9,—,—,—,27.4,33,24,5.2,20.5
Tengah,2013,5,7,7.2,—,—,—,26.8,32.7,23.9,7.1,33.5
Tengah,2013,5,8,2.2,—,—,—,27.6,32.2,24.2,7.9,29.5
Tengah,2013,5,9,1.3,—,—,—,—,33.5,24.4,8.3,35.3
Tengah,2013,5,10,5.3,—,—,—,27.7,33.3,25.3,8.5,24.1
Tengah,2013,5,11,0,—,—,—,28.3,32.1,25.5,9,27.7
Tengah,2013,5,12,0,—,—,—,30.2,35.2,25.8,9.3,29.5
Tengah,2013,5,13,0,—,—,—,30.6,34.5,25.6,8.3,22.3
Tengah,2013,5,14,1.3,—,—,—,28.5,32.3,25.2,6.2,27.7
Tengah,2013,5,15,34.6,—,—,—,29.1,34,22.5,7.7,27.7
Tengah,2013,5,16,2.2,—,—,—,27.3,31.9,23.6,8,44.3
Tengah,2013,5,17,0,—,—,—,29.4,34.9,24.5,7,20.5
Tengah,2013,5,18,0,—,—,—,27.8,31.3,24.5,7.3,29.5
Tengah,2013,5,19,0,—,—,—,28.7,33.8,24.9,7.5,25.9
Tengah,2013,5,20,0.1,—,—,—,28.6,33.1,24.4,6.4,29.5
Tengah,2013,5,21,1.5,—,—,—,—,34.3,23.9,6.1,25.9
Tengah,2013,5,22,0,—,—,—,27.3,31.6,24.1,7.8,35.3
Tengah,2013,5,23,0,—,—,—,28.3,32.8,24.8,7.7,22.3
Tengah,2013,5,24,16.6,—,—,—,26.5,30.3,23.7,7.3,25.9
Tengah,2013,5,25,0,—,—,—,—,33.9,25.1,7.3,31.3
Tengah,2013,5,26,0,—,—,—,27.4,32.8,23.5,7.3,24.1
Tengah,2013,5,27,0,—,—,—,28.4,33.8,24,6.8,24.1
Tengah,2013,5,28,0,—,—,—,28.3,33.6,25.1,7.5,29.5
Tengah,2013,5,29,0.2,—,—,—,—,28.8,24.4,5.4,14.8
Tengah,2013,5,30,0,—,—,—,27.1,32.4,23.8,8.6,40.7
Tengah,2013,5,31,0.2,—,—,—,—,33.8,23.3,7.6,31.3
