Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,2019,1,1,6.6,5.6,6.2,6.6,28.2,33.9,25,5.4,31
Sentosa Island,2019,1,2,0.2,0.2,0.2,0.2,29,32.9,26.1,8.6,29.5
Sentosa Island,2019,1,3,0.6,0.4,0.6,0.6,29.2,32,27,12.2,40.3
Sentosa Island,2019,1,4,0,0,0,0,29.5,32.1,27.2,8.6,34.2
Sentosa Island,2019,1,5,0,0,0,0,29,31.6,27.1,5.8,26.3
Sentosa Island,2019,1,6,0,0,0,0,29.3,33.3,27.3,5.8,27.7
Sentosa Island,2019,1,7,0,0,0,0,29.3,33.2,26.9,6.5,28.8
Sentosa Island,2019,1,8,15.8,8.2,8.4,8.8,28.3,32.2,25,5,34.6
Sentosa Island,2019,1,9,0,0,0,0,29,33.1,26.7,6.1,27.7
Sentosa Island,2019,1,10,0,0,0,0,29.2,33.5,26.8,6.5,34.9
Sentosa Island,2019,1,11,3.8,3.8,3.8,3.8,29.1,33.9,26.4,5.4,25.2
Sentosa Island,2019,1,12,0.6,0.4,0.4,0.6,28.8,33.9,26.3,4.7,23.4
Sentosa Island,2019,1,13,32.2,30,32.2,32.2,28.1,32.8,23.1,4.7,25.2
Sentosa Island,2019,1,14,0.2,0.2,0.2,0.2,28.5,32.8,26.5,5,25.2
Sentosa Island,2019,1,15,16.6,16.6,16.6,16.6,27.9,33.2,24.5,5.4,36
Sentosa Island,2019,1,16,0,0,0,0,28.5,32.3,26,6.1,26.3
Sentosa Island,2019,1,17,8.4,4.2,5.6,5.6,26.9,31.9,25.2,5,28.8
Sentosa Island,2019,1,18,29,7.2,10.8,14.6,26,28.7,23.3,5.8,32.8
Sentosa Island,2019,1,19,0,0,0,0,27.9,31.9,25.3,5.4,27.7
Sentosa Island,2019,1,20,0,0,0,0,28.6,33.4,25.9,5.8,27
Sentosa Island,2019,1,21,6.4,6.2,6.4,6.4,28.3,32.8,25.4,5.4,28.8
Sentosa Island,2019,1,22,0,0,0,0,28.2,31.6,26.1,7.6,31.3
Sentosa Island,2019,1,23,0,0,0,0,28.6,32.9,26.4,6.8,31
Sentosa Island,2019,1,24,0,0,0,0,28.3,32.4,26.3,5.8,28.4
Sentosa Island,2019,1,25,0,0,0,0,27.8,30.8,26,5.8,30.2
Sentosa Island,2019,1,26,0,0,0,0,27.9,31.8,25.8,6.5,29.9
Sentosa Island,2019,1,27,0,0,0,0,28.1,32.1,26.2,6.8,35.3
Sentosa Island,2019,1,28,0.2,0.2,0.2,0.2,27.4,30.1,26.5,6.1,33.8
Sentosa Island,2019,1,29,0.2,0.2,0.2,0.2,28.6,32.6,26.3,6.1,28.8
Sentosa Island,2019,1,30,0,0,0,0,28.7,32.7,26.4,6.1,29.5
Sentosa Island,2019,1,31,0,0,0,0,28.3,32.2,26.2,5.4,29.2
