Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2014,12,1,16.6,12.8,13.6,13.6,26.7,28.7,23.3,9.2,59
East Coast Parkway,2014,12,2,0,0,0,0,28,29.7,25.7,8.4,26.3
East Coast Parkway,2014,12,3,0.8,0.8,0.8,0.8,28.6,30.7,26.3,8,31.3
East Coast Parkway,2014,12,4,13.2,5.8,7.8,10.2,26.4,28,23.4,11.3,48.6
East Coast Parkway,2014,12,5,0,0,0,0,27.8,30.3,25.4,6.6,23
East Coast Parkway,2014,12,6,5.6,2.6,4.2,5.4,27.1,29.7,23.8,4.6,38.5
East Coast Parkway,2014,12,7,44.8,39,40.2,40.4,26.8,32.2,22.1,6.1,72.7
East Coast Parkway,2014,12,8,0,0,0,0,27.2,29.7,25,6.3,34.2
East Coast Parkway,2014,12,9,0,0,0,0,28,30.4,25.9,8.8,38.5
East Coast Parkway,2014,12,10,0,0,0,0,28.4,31.1,26.5,10.3,40
East Coast Parkway,2014,12,11,0.2,0.2,0.2,0.2,28,31.2,25.3,8.7,33.5
East Coast Parkway,2014,12,12,0,0,0,0,28.4,31.3,26.2,10.4,41.4
East Coast Parkway,2014,12,13,0,0,0,0,28.4,31,26.7,8.7,42.1
East Coast Parkway,2014,12,14,0,0,0,0,28.8,31.6,26.6,8.6,33.1
East Coast Parkway,2014,12,15,0,0,0,0,28,30.5,26.3,9.1,41.4
East Coast Parkway,2014,12,16,4,1.4,2.4,3.4,27,29.3,26,5.7,32
East Coast Parkway,2014,12,17,30.8,25.2,30.2,30.4,26.6,29.4,23,5.7,34.2
East Coast Parkway,2014,12,18,0,0,0,0,28,31.4,25.9,9.6,41.8
East Coast Parkway,2014,12,19,15.4,3.2,4.6,7,25.4,26.6,24.2,6.7,34.9
East Coast Parkway,2014,12,20,44.8,33.8,42.2,44.8,26.8,32,24.7,5.6,31.3
East Coast Parkway,2014,12,21,12.8,11.6,12.8,12.8,27.2,31.1,25.5,7,38.5
East Coast Parkway,2014,12,22,7.4,3,3,5.6,26.6,29.1,24.7,5.1,24.5
East Coast Parkway,2014,12,23,0,0,0,0,26.6,27.7,25.7,6.8,29.5
East Coast Parkway,2014,12,24,0,0,0,0,26.8,30,25.4,6.8,27.7
East Coast Parkway,2014,12,25,6.6,3.4,5.4,6.6,27.1,28.8,25.6,6.9,33.5
East Coast Parkway,2014,12,26,51.8,11,18.2,26,25.4,28.9,23.9,5.5,28.8
East Coast Parkway,2014,12,27,8.6,3.2,4.6,5.6,26,29.7,24.2,5.5,31.7
East Coast Parkway,2014,12,28,3.6,1.6,1.8,2.4,26.3,29.6,24.3,6.4,28.4
East Coast Parkway,2014,12,29,2,1.8,2,2,25.9,28.4,24.3,9.7,38.2
East Coast Parkway,2014,12,30,0,0,0,0,25.7,26.8,24.8,8.3,28.8
East Coast Parkway,2014,12,31,0,0,0,0,26.5,28.9,25.2,10.4,33.5
