Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ang Mo Kio,2012,4,1,13.8,—,—,—,28.8,33.3,25,5.8,25.9
Ang Mo Kio,2012,4,2,2.4,—,—,—,27.1,30.6,22.1,6.3,47.9
Ang Mo Kio,2012,4,3,30.2,—,—,—,28.1,31.7,26,5.2,33.1
Ang Mo Kio,2012,4,4,1.8,—,—,—,27.4,32.4,22.2,6,39.2
Ang Mo Kio,2012,4,5,0.2,—,—,—,27.7,32.2,24.9,3.9,26.3
Ang Mo Kio,2012,4,6,21.8,—,—,—,26.5,30.6,22.5,3.6,33.8
Ang Mo Kio,2012,4,7,16.8,—,—,—,26.7,32.9,24.2,3.8,31.7
Ang Mo Kio,2012,4,8,1,—,—,—,27,31.5,24.7,4.1,31
Ang Mo Kio,2012,4,9,16,—,—,—,26.1,29.9,24.2,3.9,23.4
Ang Mo Kio,2012,4,10,66.2,—,—,—,26.1,32.1,22.9,3.9,27.4
Ang Mo Kio,2012,4,11,15.6,—,—,—,26.3,31.4,24.2,4.2,36
Ang Mo Kio,2012,4,12,0,—,—,—,27.6,31.1,24.9,4.2,25.6
Ang Mo Kio,2012,4,13,0,—,—,—,29.2,33.4,25.5,5.3,27
Ang Mo Kio,2012,4,14,19,—,—,—,27.2,32.1,23.7,5,37.8
Ang Mo Kio,2012,4,15,0,—,—,—,27.9,32.8,24,4,20.5
Ang Mo Kio,2012,4,16,2.8,—,—,—,27.6,33.1,25.8,3.8,28.8
Ang Mo Kio,2012,4,17,0,—,—,—,27.3,31,25.2,5,20.9
Ang Mo Kio,2012,4,18,0,—,—,—,28.8,34.3,26.8,5.1,24.8
Ang Mo Kio,2012,4,19,18.4,—,—,—,26.4,30.4,24.5,3.7,17.3
Ang Mo Kio,2012,4,20,10.8,—,—,—,28.9,33.2,24.9,5.1,22.7
Ang Mo Kio,2012,4,21,5.6,—,—,—,26.6,28.6,23.9,6.2,32.4
Ang Mo Kio,2012,4,22,0.2,—,—,—,28.2,32.6,24.9,5.1,25.6
Ang Mo Kio,2012,4,23,0.4,—,—,—,28.5,34.8,25.3,4.2,31.3
Ang Mo Kio,2012,4,24,0.4,—,—,—,26.9,31.4,25.6,4.8,23.4
Ang Mo Kio,2012,4,25,0,—,—,—,28.8,32.8,26.2,5,24.8
Ang Mo Kio,2012,4,26,0.4,—,—,—,29.2,32.4,26.4,7.1,34.9
Ang Mo Kio,2012,4,27,0,—,—,—,29.3,33.2,25.2,6.3,31.3
Ang Mo Kio,2012,4,28,0.6,—,—,—,29.1,33.1,23.8,5.2,27
Ang Mo Kio,2012,4,29,0,—,—,—,28.9,32.5,27.2,3.9,19.8
Ang Mo Kio,2012,4,30,0.4,—,—,—,28.2,33.2,25.3,5.3,27.4
