Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2016,1,1,0.6,0.2,0.4,0.4,27.5,29.4,25.3,10.1,37.1
Marina Barrage,2016,1,2,10.4,5,6.2,7.8,26.3,28.1,23.6,9,38.9
Marina Barrage,2016,1,3,3.2,1,1.6,2.2,26.5,28.4,25.3,7.6,28.8
Marina Barrage,2016,1,4,0,0,0,0,28.3,32.4,25.7,7.6,23.8
Marina Barrage,2016,1,5,0,0,0,0,29.2,32.5,26.9,8.6,24.5
Marina Barrage,2016,1,6,0,0,0,0,29,33,27.1,8.6,28.4
Marina Barrage,2016,1,7,—,—,—,—,29,32.5,26.9,10.8,28.1
Marina Barrage,2016,1,8,0,0,0,0,29.1,33.4,26.7,9.7,30.2
Marina Barrage,2016,1,9,0,0,0,0,29.2,32.9,27,10.1,32.8
Marina Barrage,2016,1,10,0,0,0,0,29.6,33.6,27.4,7.2,26.6
Marina Barrage,2016,1,11,6.4,2.6,4.4,6.4,28.7,33.7,26.3,6.5,34.2
Marina Barrage,2016,1,12,0,0,0,0,29.4,34,27.4,9,28.1
Marina Barrage,2016,1,13,0,0,0,0,29.5,34.4,27.3,8.6,25.9
Marina Barrage,2016,1,14,12.6,7.2,12.4,12.6,29.1,34.2,26.3,7.6,73.8
Marina Barrage,2016,1,15,13.6,12.4,12.4,12.6,28.3,32.5,25,5.8,31
Marina Barrage,2016,1,16,0.2,0.2,0.2,0.2,28.6,32.7,26.4,4.7,22
Marina Barrage,2016,1,17,0.2,0.2,0.2,0.2,28.6,33.3,26.9,6.1,27.4
Marina Barrage,2016,1,18,0.2,0.2,0.2,0.2,29.1,33.4,26.8,5.4,22
Marina Barrage,2016,1,19,6.2,6.2,6.2,6.2,28.8,31.9,26.6,7.9,37.8
Marina Barrage,2016,1,20,0.6,0.4,0.4,0.4,28.4,31.1,26.8,6.1,27
Marina Barrage,2016,1,21,0.6,0.4,0.6,0.6,28.8,31.5,27.2,7.6,27.4
Marina Barrage,2016,1,22,15.8,7.2,7.6,9.2,28.5,32.4,26.4,6.8,35.3
Marina Barrage,2016,1,23,4.2,3.8,4,4,28.6,34.5,25.5,10.1,36.4
Marina Barrage,2016,1,24,0.2,0.2,0.2,0.2,29.1,32.4,27.4,12.2,44.3
Marina Barrage,2016,1,25,4,2.6,2.6,2.6,28.5,31.7,26,11.2,42.8
Marina Barrage,2016,1,26,12.6,5,5.2,8.4,27.8,29.5,26,8.6,38.2
Marina Barrage,2016,1,27,1.6,1.6,1.6,1.6,29,32.6,26.7,9,27
Marina Barrage,2016,1,28,9.4,8.6,9.2,9.4,29,33.9,25.6,7.6,28.8
Marina Barrage,2016,1,29,18.2,8.2,9,9,28.3,32.5,26.3,8.3,45.7
Marina Barrage,2016,1,30,0,0,0,0,29.2,34.1,27,9.4,28.8
Marina Barrage,2016,1,31,14.8,9.2,12.2,14.4,28.4,33.3,25.7,8.6,28.8
