Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Semakau Island,2017,9,1,0,0,0,0,28.8,31.1,27.6,13.3,27
Semakau Island,2017,9,2,0,0,0,0,29.1,31.1,27.9,12.6,29.9
Semakau Island,2017,9,3,0,0,0,0,29.2,31.2,27.8,18.4,36.4
Semakau Island,2017,9,4,0,0,0,0,28.7,29.9,27.8,13,40
Semakau Island,2017,9,5,2.4,2.4,2.4,2.4,28.8,31.1,26,14,56.9
Semakau Island,2017,9,6,5.6,3.6,3.6,4,27.5,28.4,25.4,12.6,35.6
Semakau Island,2017,9,7,29.8,23,29.6,29.6,28,29.2,24.9,13.3,43.2
Semakau Island,2017,9,8,0,0,0,0,27.7,30.1,25.4,11.5,41
Semakau Island,2017,9,9,31.8,26.6,29.4,31.8,28.1,30.4,23.8,10.1,60.8
Semakau Island,2017,9,10,12,11.5,11.5,11.5,28.5,30.1,24.6,13.3,61.6
Semakau Island,2017,9,11,25,10.4,15.2,21.8,27.1,28.9,24.3,14.4,74.5
Semakau Island,2017,9,12,0,0,0,0,28.9,31.1,27.3,13.3,28.1
Semakau Island,2017,9,13,0,0,0,0,29.2,31,28.1,13.7,33.8
Semakau Island,2017,9,14,8.8,8.8,8.8,8.8,28.4,30,26.2,14.8,43.6
Semakau Island,2017,9,15,3.2,1.8,2,2,28,29.2,25.8,14.8,51.8
Semakau Island,2017,9,16,33.2,16.2,30.2,33.2,27.4,28.7,23.8,17.3,54.7
Semakau Island,2017,9,17,2.4,2,2.4,2.4,28.6,31.1,26.6,17.3,42.5
Semakau Island,2017,9,18,15.2,14.2,14.6,15,27.4,30.5,24,12.2,52.2
Semakau Island,2017,9,19,0,0,0,0,27.5,29.6,25.7,12.2,40
Semakau Island,2017,9,20,13.2,4,6,8,27.1,28.6,24.3,20.2,77.8
Semakau Island,2017,9,21,2.8,1,1.6,1.8,27.2,29.7,24.6,16.6,64.8
Semakau Island,2017,9,22,0.2,0.2,0.2,0.2,28.7,29.8,27.6,12.6,29.2
Semakau Island,2017,9,23,0,0,0,0,28.6,29.9,27.5,18.4,42.5
Semakau Island,2017,9,24,1.8,0.8,1.2,1.6,28.1,29.7,25.2,15.1,47.9
Semakau Island,2017,9,25,0,0,0,0,29,30.3,28.2,13.7,31.3
Semakau Island,2017,9,26,1.2,0.8,1.2,1.2,28.4,31.2,26.2,10.8,39.2
Semakau Island,2017,9,27,0,0,0,0,28.1,29,26.9,13.3,44.6
Semakau Island,2017,9,28,12.2,11.2,12.2,12.2,28.5,29.5,24.3,10.8,43.6
Semakau Island,2017,9,29,2.4,2.4,2.4,2.4,27.9,29,25.7,16.9,77.4
Semakau Island,2017,9,30,1.2,1,1,1,27.9,28.6,25.8,20.9,48.6
