Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2013,2,1,0,—,—,—,28,30.6,26.2,13.8,47.9
East Coast Parkway,2013,2,2,0,—,—,—,28.1,31.2,26.2,13.6,41.8
East Coast Parkway,2013,2,3,29.4,—,—,—,26.4,28.1,24.8,7.8,36.4
East Coast Parkway,2013,2,4,0.6,—,—,—,26.8,28.8,24.4,8.6,40.7
East Coast Parkway,2013,2,5,6,—,—,—,26.4,29.7,24,8.3,43.6
East Coast Parkway,2013,2,6,21,—,—,—,25.9,28.3,24.2,5.2,24.1
East Coast Parkway,2013,2,7,1.2,—,—,—,27.1,30.7,25,6.7,35.3
East Coast Parkway,2013,2,8,42.2,—,—,—,26.1,28.9,24.5,5.2,29.5
East Coast Parkway,2013,2,9,0.4,—,—,—,26.5,29.9,24.5,7.2,35.3
East Coast Parkway,2013,2,10,42.6,—,—,—,25.1,26.6,21.8,8.6,28.4
East Coast Parkway,2013,2,11,40.2,—,—,—,25.6,29.3,23.3,6.5,33.8
East Coast Parkway,2013,2,12,2.6,—,—,—,26,28.6,24.3,6.2,32.4
East Coast Parkway,2013,2,13,7.4,—,—,—,27,30,25.2,8.1,51.1
East Coast Parkway,2013,2,14,43.4,—,—,—,25.2,27.6,23.4,5.6,24.5
East Coast Parkway,2013,2,15,0,—,—,—,26.2,29.2,24,7.8,43.9
East Coast Parkway,2013,2,16,0.4,—,—,—,26.6,29.5,25.1,6.6,47.5
East Coast Parkway,2013,2,17,0,—,—,—,25.3,26.3,24.6,7.8,33.1
East Coast Parkway,2013,2,18,4,—,—,—,26.6,29.9,25.1,8.1,38.2
East Coast Parkway,2013,2,19,0.4,—,—,—,26.5,27.9,25.5,6.7,24.1
East Coast Parkway,2013,2,20,6.2,—,—,—,27.2,30.2,25.6,7.9,36
East Coast Parkway,2013,2,21,6.4,—,—,—,26.5,29.1,25,8.4,32.4
East Coast Parkway,2013,2,22,0,—,—,—,27.6,31,25.4,11,40
East Coast Parkway,2013,2,23,0,—,—,—,28.2,31.9,25.3,10.1,31.3
East Coast Parkway,2013,2,24,0,—,—,—,27.9,30.2,25.4,9.3,35.3
East Coast Parkway,2013,2,25,20.4,—,—,—,27,30.9,23.8,6.9,27.7
East Coast Parkway,2013,2,26,19.2,—,—,—,26.7,30.8,25,6.4,30.2
East Coast Parkway,2013,2,27,1.8,—,—,—,27.1,29.3,25,6.9,26.6
East Coast Parkway,2013,2,28,0,—,—,—,27.6,30.8,25.5,8.6,29.5
