Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),2013,2,1,0.4,—,—,—,27.4,31.5,24.9,12.9,36
Jurong (West),2013,2,2,0.6,—,—,—,27.7,33,24.9,12.1,36.7
Jurong (West),2013,2,3,23.2,—,—,—,25.1,28.4,23.7,6.1,44.3
Jurong (West),2013,2,4,0.8,—,—,—,26.4,29.3,24.6,6.6,24.5
Jurong (West),2013,2,5,78.8,—,—,—,25.2,29.8,21.9,5.8,31.7
Jurong (West),2013,2,6,36.8,—,—,—,25.2,28.8,23.1,5.7,28.1
Jurong (West),2013,2,7,29.2,—,—,—,25.6,32.7,23.2,5.6,31
Jurong (West),2013,2,8,23,—,—,—,25.1,30.2,23.6,5.7,34.2
Jurong (West),2013,2,9,2.8,—,—,—,25.6,32.6,23.7,6.3,24.5
Jurong (West),2013,2,10,20.6,—,—,—,23.9,25.8,22.2,7.9,28.1
Jurong (West),2013,2,11,0.4,—,—,—,25,29.2,23.1,5.8,23
Jurong (West),2013,2,12,1,—,—,—,25.4,28.9,23.5,7.5,35.3
Jurong (West),2013,2,13,0.8,—,—,—,26.2,30.4,24.1,7.1,30.2
Jurong (West),2013,2,14,18.4,—,—,—,24.2,27.6,23.1,6.4,37.4
Jurong (West),2013,2,15,2,—,—,—,25,29.5,23.1,6.3,22.7
Jurong (West),2013,2,16,16.6,—,—,—,25,30.3,23.2,6.4,34.2
Jurong (West),2013,2,17,0,—,—,—,24.4,25.6,23.6,7.4,29.9
Jurong (West),2013,2,18,27.4,—,—,—,26,33.1,23.4,7.3,31.7
Jurong (West),2013,2,19,2,—,—,—,25.5,27.6,24.3,6.4,20.2
Jurong (West),2013,2,20,9.8,—,—,—,26.6,31.7,24.3,6.2,21.6
Jurong (West),2013,2,21,0.4,—,—,—,26.1,29.4,24,6.6,23.4
Jurong (West),2013,2,22,0,—,—,—,27.2,32.6,24.3,8.6,29.5
Jurong (West),2013,2,23,0,—,—,—,27.5,32.1,23.9,8,31.3
Jurong (West),2013,2,24,0,—,—,—,27.2,30.8,24.9,6.9,26.6
Jurong (West),2013,2,25,1.2,—,—,—,26.7,31.3,24.4,6.1,27.7
Jurong (West),2013,2,26,9,—,—,—,26.5,32.5,23.6,6.2,28.8
Jurong (West),2013,2,27,0,—,—,—,27,32.5,23.8,5.6,24.1
Jurong (West),2013,2,28,0,—,—,—,27.7,33.7,24.6,6.1,24.1
