Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2018,4,1,0.8,0.8,0.8,0.8,27.8,32.4,25.1,8.3,29.2
Changi,2018,4,2,0,0,0,0,28.5,33,26,9.7,31.7
Changi,2018,4,3,0,0,0,0,28.7,33.1,26.4,11.2,31
Changi,2018,4,4,0,0,0,0,28.6,33.1,26,10.1,26.6
Changi,2018,4,5,0,0,0,0,28.7,33.8,25.5,10.1,29.2
Changi,2018,4,6,3.8,3.8,3.8,3.8,28.1,33.3,25.7,9,32.8
Changi,2018,4,7,1.4,1.4,1.4,1.4,28.2,32.8,26.2,11.2,28.1
Changi,2018,4,8,0,0,0,0,28.9,33.2,26.9,13.7,36.7
Changi,2018,4,9,0,0,0,0,29.1,33.7,26.8,14.8,38.2
Changi,2018,4,10,0,0,0,0,28.7,32.9,26.1,9.4,28.1
Changi,2018,4,11,0,0,0,0,29.3,33.9,26.4,10.1,25.9
Changi,2018,4,12,0,0,0,0,29.7,34.4,26.5,10.4,32.4
Changi,2018,4,13,0,0,0,0,29.7,33.9,27.1,11.5,35.3
Changi,2018,4,14,0.4,0.4,0.4,0.4,28.4,34.3,26.5,6.5,29.9
Changi,2018,4,15,14,7.4,8.4,9.8,27.5,33.5,24.6,6.1,31
Changi,2018,4,16,1.6,0.8,0.8,1,26.6,30.2,25.5,5.4,28.1
Changi,2018,4,17,0.2,0.2,0.2,0.2,28.8,33.6,25.6,8.6,29.9
Changi,2018,4,18,0,0,0,0,29,34,26.1,10.1,31
Changi,2018,4,19,0.6,0.6,0.6,0.6,28.2,33.1,26.2,8.6,37.1
Changi,2018,4,20,0,0,0,0,28.5,34.3,26.1,7.9,31.7
Changi,2018,4,21,0.2,0.2,0.2,0.2,27.6,32.7,25.7,6.5,29.2
Changi,2018,4,22,0,0,0,0,28.3,33.7,25.8,6.8,32.4
Changi,2018,4,23,7.4,6,6.2,6.2,27.6,32,25.7,5,35.3
Changi,2018,4,24,0,0,0,0,28.7,32.9,25.8,5,23.4
Changi,2018,4,25,0,0,0,0,30.2,35,26.6,5.8,25.9
Changi,2018,4,26,14,12,13.8,14,28.4,33.2,24.3,7.6,30.6
Changi,2018,4,27,12,7,10.4,11.4,26.5,31.7,22.6,5,43.6
Changi,2018,4,28,0.2,0.2,0.2,0.2,27.7,33.1,24.9,6.5,32
Changi,2018,4,29,0,0,0,0,29.8,33,26.8,13,32.8
Changi,2018,4,30,4.6,4.6,4.6,4.6,29.1,33.5,24.9,10.8,44.6
