Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2014,6,1,2.2,1,1.6,1.6,28.8,31.8,24.7,4.9,29.5
Tuas South,2014,6,2,0,0,0,0,29.3,32.1,27.4,4.3,19.1
Tuas South,2014,6,3,4.2,4.2,4.2,4.2,29.6,32.1,27.6,4.6,21.2
Tuas South,2014,6,4,6.8,5.8,5.8,6.8,28.2,29.4,24.5,3.8,21.6
Tuas South,2014,6,5,18,6,6,10.2,27.3,29.1,24.9,11.4,49.7
Tuas South,2014,6,6,2.6,1,1,1.4,27.8,30.9,25.9,6.5,25.9
Tuas South,2014,6,7,0,0,0,0,29.2,32.7,26.3,5,23.4
Tuas South,2014,6,8,0,0,0,0,30.2,33,28.3,6.1,27
Tuas South,2014,6,9,0,0,0,0,30.1,33.5,28.4,4.7,18.4
Tuas South,2014,6,10,0.6,0.2,0.2,0.4,29.9,33.3,27.5,6.6,38.2
Tuas South,2014,6,11,0,0,0,0,30.4,33.2,28.6,5.7,22
Tuas South,2014,6,12,22,17.2,17.8,18.8,29.2,32.9,24,8.3,88.6
Tuas South,2014,6,13,0,0,0,0,30.2,32.9,28.1,7.2,23
Tuas South,2014,6,14,25.2,20.2,23.2,24,27.9,30.2,23.7,5.4,42.8
Tuas South,2014,6,15,0,0,0,0,29.8,31.9,27.9,8.1,21.6
Tuas South,2014,6,16,0,0,0,0,30.3,32.7,28.7,8,23.4
Tuas South,2014,6,17,0,0,0,0,30.6,33.2,28.7,5.7,24.5
Tuas South,2014,6,18,23.4,13,18.6,22.6,28.8,32,23.7,8.4,52.2
Tuas South,2014,6,19,2.4,1.6,1.8,2.2,29.7,32.5,25.9,7.6,46.8
Tuas South,2014,6,20,0,0,0,0,30.4,33.3,28.6,6.4,23.8
Tuas South,2014,6,21,0,0,0,0,30.7,33.2,28.6,5.8,23.8
Tuas South,2014,6,22,0,0,0,0,30.3,32.4,28.8,8.4,25.9
Tuas South,2014,6,23,0,0,0,0,30,32.6,28.3,6.3,18.4
Tuas South,2014,6,24,1.4,1.2,1.2,1.2,30,32.3,27.9,6.5,26.6
Tuas South,2014,6,25,25.2,21,23.6,25,28.6,30.9,24.1,7.1,34.9
Tuas South,2014,6,26,1.8,1.8,1.8,1.8,29.6,32.7,28.1,6.6,24.8
Tuas South,2014,6,27,11.4,9.2,9.4,9.4,27.5,29.6,24.4,10.4,53.3
Tuas South,2014,6,28,0,0,0,0,28.9,31,27.2,6.9,21.2
Tuas South,2014,6,29,7.6,7.4,7.6,7.6,28.8,30.7,25.8,4.7,25.2
Tuas South,2014,6,30,31,24.4,29.8,30.8,27.5,29.4,23.6,8.2,38.9
