Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2018,3,1,0.6,0.4,0.4,0.4,28.1,32.2,26.1,4.7,24.1
Tuas South,2018,3,2,0,0,0,0,28.3,30.9,26.3,4.7,19.8
Tuas South,2018,3,3,13.2,11.2,13,13.2,27.9,32.5,24.3,4.7,32.4
Tuas South,2018,3,4,16.8,14,14.2,14.2,27.5,31.3,25.5,5.4,27
Tuas South,2018,3,5,0,0,0,0,28.9,34.4,26.4,5.8,38.2
Tuas South,2018,3,6,1.2,1.2,1.2,1.2,28.3,31.7,26,6.1,21.6
Tuas South,2018,3,7,46.8,26.4,40.8,44.8,26.6,27.9,24.2,5.8,38.2
Tuas South,2018,3,8,0,0,0,0,27.6,30.5,25.7,4.7,20.9
Tuas South,2018,3,9,0,0,0,0,29.2,34.3,26,6.1,25.6
Tuas South,2018,3,10,46.6,27,29.6,30.6,27.3,30.2,24.2,6.1,28.8
Tuas South,2018,3,11,0.4,0.4,0.4,0.4,28.1,33.4,25.4,6.1,28.4
Tuas South,2018,3,12,4.4,3.2,3.4,4.4,27.4,31.1,25.5,5,28.1
Tuas South,2018,3,13,0,0,0,0,28.3,33.3,26.1,5,23
Tuas South,2018,3,14,0.2,0.2,0.2,0.2,28.5,32.7,26,5,21.6
Tuas South,2018,3,15,0,0,0,0,28.9,32.7,26.1,5,23.4
Tuas South,2018,3,16,0,0,0,0,29.1,32.8,25.4,4.3,22.3
Tuas South,2018,3,17,2.4,2.4,2.4,2.4,28.7,33.7,25.8,4.7,23
Tuas South,2018,3,18,22,19,21.6,22,28.1,32.4,23.5,4.7,30.6
Tuas South,2018,3,19,0,0,0,0,29.1,32.4,26.1,5,24.1
Tuas South,2018,3,20,0,0,0,0,28.8,32.6,26.5,5,22.7
Tuas South,2018,3,21,0,0,0,0,28.2,31.1,26.4,6.1,21.2
Tuas South,2018,3,22,0,0,0,0,29.6,34.5,27,6.5,24.1
Tuas South,2018,3,23,0,0,0,0,29.2,33.8,26.4,5.8,23
Tuas South,2018,3,24,12.6,10.8,11.2,12.6,28.1,32.2,25,4.3,25.9
Tuas South,2018,3,25,21.4,13.4,14.2,14.4,26.9,29.6,24.4,3.2,19.8
Tuas South,2018,3,26,38.4,30.6,36.4,37.2,26.9,31.7,24.2,4,26.3
Tuas South,2018,3,27,10.8,3.6,5.6,6.8,25.5,26.8,24,9.4,41.4
Tuas South,2018,3,28,0.2,0.2,0.2,0.2,27.4,30.4,25.4,6.5,21.2
Tuas South,2018,3,29,0,0,0,0,27.8,30.2,26.1,4.3,21.2
Tuas South,2018,3,30,1.8,1,1.6,1.6,27.5,31.3,25.3,5.4,36.4
Tuas South,2018,3,31,0,0,0,0,28.5,31.2,26.2,7.6,29.2
