Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,2013,12,1,23.8,—,—,—,26.5,29.6,24.9,5.5,20.5
Sentosa Island,2013,12,2,7.8,—,—,—,25,25.8,24.4,6.5,20.9
Sentosa Island,2013,12,3,34.4,—,—,—,26,30.3,24,5.7,20.5
Sentosa Island,2013,12,4,1,—,—,—,25.8,28.4,24,7.7,36
Sentosa Island,2013,12,5,0,—,—,—,27.3,30.4,24.5,6,23.8
Sentosa Island,2013,12,6,4,—,—,—,25.6,29.1,23.3,5.6,35.3
Sentosa Island,2013,12,7,0,—,—,—,27,30.4,24,4.6,22.7
Sentosa Island,2013,12,8,32.4,—,—,—,25.5,29.2,23.9,5.9,24.1
Sentosa Island,2013,12,9,0,—,—,—,27,31,24.2,5.4,20.5
Sentosa Island,2013,12,10,0.4,—,—,—,27.6,31.5,25.8,5.2,17.6
Sentosa Island,2013,12,11,18.4,—,—,—,27.2,31.9,24.6,4.8,27
Sentosa Island,2013,12,12,32,—,—,—,26.9,31.2,24.7,6.3,38.2
Sentosa Island,2013,12,13,0.2,—,—,—,27.9,32.1,25.6,5.8,21.6
Sentosa Island,2013,12,14,4,—,—,—,27.6,32.3,25.6,5,24.5
Sentosa Island,2013,12,15,0,—,—,—,27.5,30.8,25.7,5.4,23.4
Sentosa Island,2013,12,16,0,—,—,—,28.6,33.1,25.7,5.4,23.8
Sentosa Island,2013,12,17,0,—,—,—,28.3,32,26.4,4.6,21.2
Sentosa Island,2013,12,18,23.6,—,—,—,26.8,32.2,21.7,6.5,41
Sentosa Island,2013,12,19,0.2,—,—,—,26.5,29.4,23.4,7.6,35.6
Sentosa Island,2013,12,20,14.6,—,—,—,25.6,28.4,24.4,5.8,27.7
Sentosa Island,2013,12,21,0,—,—,—,26.7,31.4,24.1,6.5,27.4
Sentosa Island,2013,12,22,1,—,—,—,27.1,31.4,24.8,6.9,31.7
Sentosa Island,2013,12,23,0.6,—,—,—,26,27.7,24.7,8.8,36
Sentosa Island,2013,12,24,0,—,—,—,27.4,30.5,25.5,7.6,34.6
Sentosa Island,2013,12,25,0,—,—,—,27.4,30.4,25.5,6.7,30.6
Sentosa Island,2013,12,26,3.4,—,—,—,26.6,31.3,25,6.6,24.1
Sentosa Island,2013,12,27,4.2,—,—,—,26.9,30.3,25.4,8.5,31.7
Sentosa Island,2013,12,28,0.6,—,—,—,26.8,30.4,25.1,8.9,32.4
Sentosa Island,2013,12,29,0,—,—,—,26.5,28.8,25.1,8.1,33.8
Sentosa Island,2013,12,30,2,—,—,—,26.8,29.7,25.1,7,30.6
Sentosa Island,2013,12,31,0,—,—,—,26.3,29,24.9,8.7,32.8
