Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tai Seng,2017,12,1,0,0,0,0,29.2,35.1,26.3,6.5,30.2
Tai Seng,2017,12,2,0,0,0,0,29.3,34.3,26.2,6.8,25.2
Tai Seng,2017,12,3,3.2,3.2,3.2,3.2,29.3,33.1,26.8,6.1,17.3
Tai Seng,2017,12,4,1.6,1,1.2,1.2,28.1,32.2,26.5,5,26.6
Tai Seng,2017,12,5,10,9.8,10,10,28.4,32.7,26,5.8,37.1
Tai Seng,2017,12,6,3.4,2.6,2.8,3,28.6,33.5,25.8,5.8,19.4
Tai Seng,2017,12,7,4.4,2,2.4,3.8,27.7,31.8,26,6.1,25.6
Tai Seng,2017,12,8,0.4,0.4,0.4,0.4,27.5,30.1,26.1,7.9,34.6
Tai Seng,2017,12,9,0.8,0.6,0.8,0.8,26.6,27.8,25.2,7.6,31
Tai Seng,2017,12,10,2,1.6,2,2,28,32.9,25.8,6.5,25.2
Tai Seng,2017,12,11,48.8,36.2,39.8,45.4,27.4,31.2,25.2,7.9,29.9
Tai Seng,2017,12,12,20.8,12,13.8,14.6,26.6,30.7,24.3,5.4,22.7
Tai Seng,2017,12,13,11.6,6.2,7.6,11,26.9,32.6,24.5,5.4,26.6
Tai Seng,2017,12,14,0,0,0,0,27.6,32,25.3,6.1,27.7
Tai Seng,2017,12,15,20.4,18.2,20,20.2,27.2,31.7,23.9,6.1,31
Tai Seng,2017,12,16,1.6,1.2,1.6,1.6,27.6,30.8,25.6,7.6,29.2
Tai Seng,2017,12,17,0,0,0,0,27.9,32.2,25.8,11.2,50.8
Tai Seng,2017,12,18,0,0,0,0,27.9,30.8,26.4,13,45
Tai Seng,2017,12,19,1.6,0.8,1.2,1.6,26.9,31,25.1,11.9,39.2
Tai Seng,2017,12,20,0,0,0,0,27.5,30.6,25.5,11.9,36.7
Tai Seng,2017,12,21,0,0,0,0,28.1,32.1,25.9,11.2,36
Tai Seng,2017,12,22,25.4,15,20.2,24.6,27.9,32.5,24.8,6.5,30.2
Tai Seng,2017,12,23,5.8,4.4,5.2,5.6,28,32.2,24.4,6.1,28.4
Tai Seng,2017,12,24,0,0,0,0,27.1,28.6,26.2,8.3,28.1
Tai Seng,2017,12,25,34.2,27.8,29.8,29.8,27.3,31.3,23.6,6.1,30.2
Tai Seng,2017,12,26,2.6,2.6,2.6,2.6,27.6,32.1,24.5,5.4,21.2
Tai Seng,2017,12,27,12.6,6.8,6.8,6.8,26.8,30.6,24.2,6.1,22
Tai Seng,2017,12,28,1.4,1.2,1.4,1.4,27.5,31.8,26,7.6,31.7
Tai Seng,2017,12,29,0,0,0,0,28.2,31,26.2,11.2,35.6
Tai Seng,2017,12,30,27.4,8.4,13.6,15.8,27.1,29.9,24.8,9.7,41.8
Tai Seng,2017,12,31,61.6,11.6,18,24.8,25.4,26.5,24.1,6.5,29.9
