Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2013,10,1,0,—,—,—,28.3,32.9,24.8,4.2,28.1
Pulau Ubin,2013,10,2,9.4,—,—,—,26.1,29.1,23.7,3,28.1
Pulau Ubin,2013,10,3,0,—,—,—,26.9,32.1,24.4,3.5,20.9
Pulau Ubin,2013,10,4,0,—,—,—,27.5,33.4,24.5,3.3,15.8
Pulau Ubin,2013,10,5,1.4,—,—,—,27.7,33.7,23.8,4.2,27
Pulau Ubin,2013,10,6,0,—,—,—,27.8,34.1,22.7,4.8,40.3
Pulau Ubin,2013,10,7,0,—,—,—,27.5,33.6,23.4,4.7,35.6
Pulau Ubin,2013,10,8,26.8,—,—,—,28.7,34.9,24.5,3.7,24.5
Pulau Ubin,2013,10,9,2.4,—,—,—,27.1,33,22.8,3.7,36
Pulau Ubin,2013,10,10,5.2,—,—,—,26.6,32.2,24.6,3.2,21.2
Pulau Ubin,2013,10,11,0.2,—,—,—,26.6,30.5,24.3,3.1,17.6
Pulau Ubin,2013,10,12,0,—,—,—,27.2,30.9,24.8,3.2,25.6
Pulau Ubin,2013,10,13,15.6,—,—,—,26.8,31.8,24.4,3.5,25.6
Pulau Ubin,2013,10,14,—,—,—,—,—,—,—,3.6,21.2
Pulau Ubin,2013,10,15,—,—,—,—,—,—,—,3.6,27.7
Pulau Ubin,2013,10,16,0.6,—,—,—,27.9,32.4,25.1,3,19.1
Pulau Ubin,2013,10,17,—,—,—,—,28.1,32.7,25.3,3.4,21.2
Pulau Ubin,2013,10,18,—,—,—,—,—,—,—,4.3,26.6
Pulau Ubin,2013,10,19,—,—,—,—,—,—,—,2.8,16.2
Pulau Ubin,2013,10,20,—,—,—,—,—,—,—,3.9,18
Pulau Ubin,2013,10,21,—,—,—,—,—,—,—,—,—
Pulau Ubin,2013,10,22,—,—,—,—,—,—,—,—,—
Pulau Ubin,2013,10,23,—,—,—,—,—,—,—,—,—
Pulau Ubin,2013,10,24,—,—,—,—,—,—,—,—,—
Pulau Ubin,2013,10,25,—,—,—,—,—,—,—,—,—
Pulau Ubin,2013,10,26,—,—,—,—,—,—,—,—,—
Pulau Ubin,2013,10,27,—,—,—,—,—,—,—,—,—
Pulau Ubin,2013,10,28,—,—,—,—,—,—,—,—,—
Pulau Ubin,2013,10,29,—,—,—,—,—,—,—,—,—
Pulau Ubin,2013,10,30,—,—,—,—,—,—,—,—,—
Pulau Ubin,2013,10,31,—,—,—,—,—,—,—,—,—
