Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2016,8,1,—,—,—,—,—,—,—,—,—
Pulau Ubin,2016,8,2,—,—,—,—,—,—,—,—,—
Pulau Ubin,2016,8,3,—,—,—,—,—,—,—,—,—
Pulau Ubin,2016,8,4,—,—,—,—,—,—,—,—,—
Pulau Ubin,2016,8,5,0.8,0.6,0.8,0.8,—,33.9,25.4,9,30.6
Pulau Ubin,2016,8,6,1.8,1.6,1.8,1.8,—,33.5,24.6,8.3,29.9
Pulau Ubin,2016,8,7,0,0,0,0,28.2,33.5,25.1,8.6,33.1
Pulau Ubin,2016,8,8,0,0,0,0,28.4,33.6,25.5,8.3,25.2
Pulau Ubin,2016,8,9,0,0,0,0,28.7,33.9,25.3,9.4,33.1
Pulau Ubin,2016,8,10,0,0,0,0,29.1,34.2,25.8,9,32
Pulau Ubin,2016,8,11,0.2,0.2,0.2,0.2,28.1,32,26.2,7.9,24.8
Pulau Ubin,2016,8,12,0,0,0,0,28.3,32.2,26,8.3,35.3
Pulau Ubin,2016,8,13,0,0,0,0,28.4,33.2,25.7,8.6,28.4
Pulau Ubin,2016,8,14,0,0,0,0,28,33.3,25,8.6,31.3
Pulau Ubin,2016,8,15,0,0,0,0,28.8,33.9,25.2,9,30.6
Pulau Ubin,2016,8,16,0,0,0,0,—,33.3,25.3,9,31.3
Pulau Ubin,2016,8,17,16.2,16,16.2,16.2,—,33.4,22.2,8.6,43.6
Pulau Ubin,2016,8,18,0.4,0.4,0.4,0.4,—,33.3,26.1,9.4,36
Pulau Ubin,2016,8,19,25.4,21.6,23.6,24.6,—,32.4,22.3,8.3,39.6
Pulau Ubin,2016,8,20,0.4,0.4,0.4,0.4,—,33.5,25.6,9.4,30.2
Pulau Ubin,2016,8,21,40.2,25.2,36.8,40,27.1,30.8,22.6,7.6,28.4
Pulau Ubin,2016,8,22,0,0,0,0,28.1,32.8,25.7,8.3,29.2
Pulau Ubin,2016,8,23,0,0,0,0,28.3,33.3,25.7,8.6,28.1
Pulau Ubin,2016,8,24,34.4,22.8,31,33.2,—,—,—,9,42.5
Pulau Ubin,2016,8,25,—,—,—,—,—,—,—,—,—
Pulau Ubin,2016,8,26,—,—,—,—,—,—,—,—,—
Pulau Ubin,2016,8,27,0,0,0,0,28.7,33.3,26.2,8.6,29.2
Pulau Ubin,2016,8,28,0,0,0,0,27.8,32.5,25.4,8.6,23.8
Pulau Ubin,2016,8,29,2.8,2.8,2.8,2.8,28.3,32.3,24.8,9,35.3
Pulau Ubin,2016,8,30,5,2.2,3.2,3.2,26.4,29.5,24.5,7.2,28.8
Pulau Ubin,2016,8,31,0,0,0,0,—,33.3,24.6,9.4,38.2
