Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tai Seng,2012,11,1,3.2,—,—,—,27.1,31.6,25.5,5,27.7
Tai Seng,2012,11,2,0,—,—,—,28.4,33.5,25.6,5.4,25.2
Tai Seng,2012,11,3,3,—,—,—,26.5,28.5,24.4,6.2,30.6
Tai Seng,2012,11,4,11.4,—,—,—,26.8,32.2,24.9,6,30.2
Tai Seng,2012,11,5,0.2,—,—,—,27,29.6,24,6.4,25.6
Tai Seng,2012,11,6,21,—,—,—,27,31.2,24.5,5.9,36.7
Tai Seng,2012,11,7,0.2,—,—,—,28.4,32.1,26.2,7.1,74.2
Tai Seng,2012,11,8,10.6,—,—,—,27.7,32.1,25.5,5.2,22
Tai Seng,2012,11,9,9.2,—,—,—,27.4,31.9,24.1,4.5,34.9
Tai Seng,2012,11,10,0,—,—,—,27.5,31.6,25.8,5,27.7
Tai Seng,2012,11,11,0.4,—,—,—,28.4,32,26.7,5.2,22
Tai Seng,2012,11,12,1.6,—,—,—,27.3,30.8,24.8,5.2,21.2
Tai Seng,2012,11,13,10.2,—,—,—,26.9,31.3,24.3,5.1,49
Tai Seng,2012,11,14,7.6,—,—,—,26.9,31.7,25.4,4.3,29.5
Tai Seng,2012,11,15,0.4,—,—,—,28.2,31.6,26.1,4.1,20.5
Tai Seng,2012,11,16,0.2,—,—,—,28.7,33.1,26.8,5.4,32.8
Tai Seng,2012,11,17,25.4,—,—,—,27.8,33,23.7,6.3,63.4
Tai Seng,2012,11,18,18.2,—,—,—,27.4,32.4,24.9,4.2,31.3
Tai Seng,2012,11,19,0,—,—,—,27.6,29.5,25.8,5.7,27.4
Tai Seng,2012,11,20,0.2,—,—,—,28.7,32.8,25.6,5.9,28.4
Tai Seng,2012,11,21,2.8,—,—,—,27.9,32.3,25.5,5.9,41
Tai Seng,2012,11,22,1.4,—,—,—,27.3,29.3,25.6,5.7,40.3
Tai Seng,2012,11,23,45,—,—,—,27.6,32.6,23.8,4.7,34.2
Tai Seng,2012,11,24,0,—,—,—,28,31.3,23.9,7,26.3
Tai Seng,2012,11,25,5.4,—,—,—,27.1,30.5,25.4,4.8,19.8
Tai Seng,2012,11,26,0.2,—,—,—,27.9,31.2,26.2,4.5,22.7
Tai Seng,2012,11,27,13,—,—,—,27.3,32,25.3,4.5,25.2
Tai Seng,2012,11,28,23.6,—,—,—,28.1,32.4,25.6,4.1,22
Tai Seng,2012,11,29,0,—,—,—,27.9,32.7,25.5,5.5,27
Tai Seng,2012,11,30,0,—,—,—,28.7,32.8,26.4,5.1,19.8
