Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tai Seng,2012,4,1,43.4,—,—,—,29.3,33.8,26,6.6,26.3
Tai Seng,2012,4,2,2.6,—,—,—,27.6,31.1,22.2,7,44.3
Tai Seng,2012,4,3,70.6,—,—,—,28.3,31.5,26.5,6.7,36.7
Tai Seng,2012,4,4,1.2,—,—,—,28,32.6,22.6,6.4,46.1
Tai Seng,2012,4,5,4.6,—,—,—,28.2,31.7,26.2,4.8,25.9
Tai Seng,2012,4,6,36.8,—,—,—,27.2,30,23,5,45
Tai Seng,2012,4,7,6,—,—,—,27.5,32.4,25.1,4.5,25.6
Tai Seng,2012,4,8,9.6,—,—,—,27.7,31.8,25.6,5.3,31.7
Tai Seng,2012,4,9,1,—,—,—,27.5,31.6,25.8,5.3,24.1
Tai Seng,2012,4,10,63.6,—,—,—,26.7,31.4,23.3,5.5,30.6
Tai Seng,2012,4,11,25.2,—,—,—,27.1,30.4,24.5,4.3,22.7
Tai Seng,2012,4,12,0.4,—,—,—,28.1,31.9,25.4,5.9,25.6
Tai Seng,2012,4,13,0,—,—,—,29.4,33.1,26.5,6.4,27.7
Tai Seng,2012,4,14,4.4,—,—,—,28.1,32.3,25.3,5.4,32.4
Tai Seng,2012,4,15,0,—,—,—,28,31,25.2,5,19.4
Tai Seng,2012,4,16,0.4,—,—,—,28.8,33.5,26.8,5.5,22.7
Tai Seng,2012,4,17,0,—,—,—,28,30.9,26.4,7.1,22.3
Tai Seng,2012,4,18,0,—,—,—,29.3,32.8,27.4,7.3,25.6
Tai Seng,2012,4,19,52,—,—,—,27.1,29.5,24.5,5.1,20.5
Tai Seng,2012,4,20,0,—,—,—,29.4,33,26.1,5.6,27.7
Tai Seng,2012,4,21,5.2,—,—,—,27.5,29.2,25.2,6.7,30.2
Tai Seng,2012,4,22,0,—,—,—,28.5,31.6,25.7,7.1,32.4
Tai Seng,2012,4,23,0.2,—,—,—,29.1,33.6,25.8,6.1,43.6
Tai Seng,2012,4,24,6.4,—,—,—,27.2,30.6,25.9,6.8,29.2
Tai Seng,2012,4,25,0,—,—,—,29.1,33,27.2,6.7,24.8
Tai Seng,2012,4,26,6.2,—,—,—,29.6,32.4,27.3,8.1,31.7
Tai Seng,2012,4,27,0,—,—,—,29.7,33.4,25.1,8,34.2
Tai Seng,2012,4,28,7.4,—,—,—,29.8,34,23.6,6,42.8
Tai Seng,2012,4,29,0,—,—,—,29.6,32.7,28.1,5.5,28.1
Tai Seng,2012,4,30,0.2,—,—,—,28.8,33.2,26,6.5,26.6
