Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2014,9,1,0,0,0,0,29.8,34.1,27.5,6.6,20.9
Marina Barrage,2014,9,2,0,0,0,0,29.2,32.5,27.2,5.4,25.9
Marina Barrage,2014,9,3,59.4,42.2,56,59.4,27.2,32.5,22.4,3.3,33.8
Marina Barrage,2014,9,4,0,0,0,0,28.7,32.4,25.2,3.7,17.3
Marina Barrage,2014,9,5,1.8,1.6,1.8,1.8,28.2,31.3,24.3,5.2,37.1
Marina Barrage,2014,9,6,5.4,5.4,5.4,5.4,27.8,29.9,25.3,8.4,41.4
Marina Barrage,2014,9,7,0.2,0.2,0.2,0.2,28.8,32.6,26.4,3.4,16.9
Marina Barrage,2014,9,8,0,0,0,0,29.6,32.9,26.6,4.2,18
Marina Barrage,2014,9,9,0,0,0,0,29,33.7,27.8,5.5,23
Marina Barrage,2014,9,10,0,0,0,0,29.4,32.2,27.8,6,23
Marina Barrage,2014,9,11,63.4,28.6,35,40.8,27.8,32.4,23.4,6.2,43.6
Marina Barrage,2014,9,12,0,0,0,0,29,32.5,25.6,5.5,24.8
Marina Barrage,2014,9,13,0,0,0,0,29.4,32.5,27.7,6.3,25.2
Marina Barrage,2014,9,14,0,0,0,0,29.4,32,28,5.8,23.4
Marina Barrage,2014,9,15,0,0,0,0,29.6,32.5,27.8,6.6,25.9
Marina Barrage,2014,9,16,0,0,0,0,29.7,33.4,27.8,7,22.3
Marina Barrage,2014,9,17,6.8,6.8,6.8,6.8,29.2,33.2,25.2,6.2,27
Marina Barrage,2014,9,18,0,0,0,0,29.4,33.2,27.7,5.7,30.6
Marina Barrage,2014,9,19,2.6,2.6,2.6,2.6,29.6,32.9,27.7,7,27.7
Marina Barrage,2014,9,20,45.8,17.8,20.6,23.6,27.7,32.8,23.5,5.1,32
Marina Barrage,2014,9,21,3.4,1.6,2.6,3,28.1,31.7,24.8,5,24.8
Marina Barrage,2014,9,22,0,0,0,0,29.6,34.7,26.8,5.6,20.9
Marina Barrage,2014,9,23,0,0,0,0,29.8,33.9,27.4,5.5,18.4
Marina Barrage,2014,9,24,5.2,4.6,5,5,29.3,33.4,25.5,6,35.6
Marina Barrage,2014,9,25,9.2,3.2,4.8,5.2,26.9,30,23.9,4.9,36.4
Marina Barrage,2014,9,26,0,0,0,0,29.3,33.2,26.4,4.4,20.9
Marina Barrage,2014,9,27,0,0,0,0,29.7,34,27.8,5.8,24.1
Marina Barrage,2014,9,28,0,0,0,0,29.7,33.2,27.6,4.9,14.8
Marina Barrage,2014,9,29,0,0,0,0,29.8,33.7,27.6,4.8,19.4
Marina Barrage,2014,9,30,0,0,0,0,29.9,34,27.7,4.3,18.4
