Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2017,4,1,14.8,11,12,12.2,27.1,31.2,24.5,6.5,64.1
East Coast Parkway,2017,4,2,11.2,11,11,11,27.4,29.6,25.5,10.1,33.5
East Coast Parkway,2017,4,3,33.4,20.2,32.4,32.8,28,30.3,24.3,6.8,27.7
East Coast Parkway,2017,4,4,1,0.6,0.6,0.6,28.6,32.5,25.4,10.8,40.7
East Coast Parkway,2017,4,5,0,0,0,0,29.1,32.1,27,11.5,35.3
East Coast Parkway,2017,4,6,0,0,0,0,29.4,32.2,27.8,8.6,26.6
East Coast Parkway,2017,4,7,9.6,6.4,7,8.4,27.9,31.6,24.1,10.4,45
East Coast Parkway,2017,4,8,3.6,1.6,1.6,1.8,27.5,28.9,26,5.8,36.4
East Coast Parkway,2017,4,9,0,0,0,0,28.1,30.3,26.2,7.2,26.3
East Coast Parkway,2017,4,10,0,0,0,0,27.9,28.9,27,8.6,28.1
East Coast Parkway,2017,4,11,5.2,4.2,5.2,5.2,28.7,30.5,26.2,9.4,37.4
East Coast Parkway,2017,4,12,7,4.6,5.8,7,28.1,30,24.7,8.3,43.9
East Coast Parkway,2017,4,13,0.6,0.4,0.4,0.4,27.7,29.1,25.9,9,30.2
East Coast Parkway,2017,4,14,0,0,0,0,28.3,30.6,26.2,7.9,28.4
East Coast Parkway,2017,4,15,0.4,0.4,0.4,0.4,29,32.4,26.6,7.2,29.2
East Coast Parkway,2017,4,16,0,0,0,0,28.6,30,26.9,6.8,24.8
East Coast Parkway,2017,4,17,0,0,0,0,29.3,30.5,28,9,29.9
East Coast Parkway,2017,4,18,39,23.4,27.6,33.2,27.6,30.2,23.8,7.6,37.1
East Coast Parkway,2017,4,19,0,0,0,0,28.2,30.4,25.2,6.8,72
East Coast Parkway,2017,4,20,0,0,0,0,28.6,30.5,27.4,6.8,30.6
East Coast Parkway,2017,4,21,35.4,13.2,23.6,34,28,30.4,23.9,10.1,51.1
East Coast Parkway,2017,4,22,0.4,0.2,0.2,0.2,28.8,30.7,26.5,8.3,40.3
East Coast Parkway,2017,4,23,0,0,0,0,28.9,30.3,27.1,8.6,27.4
East Coast Parkway,2017,4,24,33.8,15.2,22.6,33.2,28.1,30.3,24.8,7.6,31
East Coast Parkway,2017,4,25,5.4,2.4,2.6,5,27.5,30.2,26.1,5.8,31
East Coast Parkway,2017,4,26,8.6,8.4,8.6,8.6,27.8,29,25.2,9.4,36.4
East Coast Parkway,2017,4,27,0,0,0,0,28,29.4,26.1,10.8,41
East Coast Parkway,2017,4,28,21.4,16.2,21,21.2,27.4,30,23.7,10.1,36.7
East Coast Parkway,2017,4,29,0,0,0,0,28.1,29.2,27,6.5,26.3
East Coast Parkway,2017,4,30,0,0,0,0,29,31,27.1,11.9,34.2
