Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2015,12,1,17.4,10.2,13.2,14.6,26.2,31.6,22.8,9.1,30.6
Pulau Ubin,2015,12,2,5.4,5.4,5.4,5.4,26.4,31.9,23.9,7.6,24.1
Pulau Ubin,2015,12,3,0,0,0,0,27.5,32.4,24.5,8.4,27
Pulau Ubin,2015,12,4,0,0,0,0,27.5,32.7,24.9,7.9,25.6
Pulau Ubin,2015,12,5,2,2,2,2,27.2,32.5,24.6,8.4,38.9
Pulau Ubin,2015,12,6,4.8,3.2,3.4,3.6,26.4,32.3,24.6,8,28.1
Pulau Ubin,2015,12,7,0.2,0.2,0.2,0.2,27.9,32.3,24.3,9.8,32.8
Pulau Ubin,2015,12,8,15.2,5.2,8.4,9.4,27.3,31.8,24.8,7.7,25.9
Pulau Ubin,2015,12,9,1.2,0.6,0.6,0.8,27.6,32.5,24.4,8.9,25.9
Pulau Ubin,2015,12,10,15.2,7.4,9.2,9.4,27,33,23.3,9,36.4
Pulau Ubin,2015,12,11,1.6,0.8,1,1.4,26.6,31.1,24.6,7.9,22.7
Pulau Ubin,2015,12,12,26.2,11.2,12.6,16.4,26.2,31.6,24,8.6,30.6
Pulau Ubin,2015,12,13,16.2,6.2,6.6,6.6,25.3,28.3,23.9,9.4,24.8
Pulau Ubin,2015,12,14,0.6,0.2,0.4,0.4,26.8,31.8,23.9,9,26.6
Pulau Ubin,2015,12,15,0,0,0,0,26.9,29.4,24.6,9,24.5
Pulau Ubin,2015,12,16,1,1,1,1,27.1,30.2,25.5,9.4,32.8
Pulau Ubin,2015,12,17,0,0,0,0,27.3,30.3,25.6,10.7,33.5
Pulau Ubin,2015,12,18,9.4,9,9.2,9.4,27.2,31.3,23.6,10.3,45.4
Pulau Ubin,2015,12,19,0,0,0,0,27.7,32.4,24.1,10.8,33.1
Pulau Ubin,2015,12,20,0,0,0,0,27.9,32.3,24.6,10.1,28.1
Pulau Ubin,2015,12,21,0,0,0,0,27.8,33,24.8,8.6,25.2
Pulau Ubin,2015,12,22,5.6,5.6,5.6,5.6,27.5,34,24.4,8.1,26.3
Pulau Ubin,2015,12,23,24,18.2,21.2,21.8,26.5,31.9,22.9,8.6,25.6
Pulau Ubin,2015,12,24,44,27.6,36.4,43.4,25.5,29.7,22.5,7.8,29.2
Pulau Ubin,2015,12,25,0,0,0,0,27,31.3,23.8,9.4,31
Pulau Ubin,2015,12,26,0.2,0.2,0.2,0.2,27.3,31.5,24.4,9.8,40.7
Pulau Ubin,2015,12,27,0,0,0,0,27.2,31.4,23.8,8.9,28.4
Pulau Ubin,2015,12,28,0,0,0,0,27.8,32.2,24.7,9.6,34.9
Pulau Ubin,2015,12,29,45.4,14.6,17.4,18.6,26,28.9,23.8,9.9,31.7
Pulau Ubin,2015,12,30,2.2,1.6,2.2,2.2,27.4,31.2,24.8,11.8,36.4
Pulau Ubin,2015,12,31,24.6,12.6,13.8,17.8,25.7,29.8,24.4,10.1,36.7
