Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,2016,1,1,13.6,—,—,—,26.2,28.1,24.4,7.9,25.9
Tengah,2016,1,2,4.9,—,—,—,25.4,28.7,23.5,6.1,44.3
Tengah,2016,1,3,0.1,—,—,—,25.9,27.6,23.7,9.4,27.7
Tengah,2016,1,4,0.4,—,—,—,27.4,33.1,23.9,11.5,35.3
Tengah,2016,1,5,0,—,—,—,28.9,34.2,25.3,11.9,29.5
Tengah,2016,1,6,8.4,—,—,—,28.4,33.4,25,11.9,44.3
Tengah,2016,1,7,0,—,—,—,28.8,34,23.8,14,33.5
Tengah,2016,1,8,0,—,—,—,28.5,33.8,24,15.1,38.9
Tengah,2016,1,9,0,—,—,—,28.7,34.1,24.4,16.6,38.9
Tengah,2016,1,10,0,—,—,—,28.4,34.8,24.6,9.4,27.7
Tengah,2016,1,11,18,—,—,—,27.7,34,25.3,7.9,33.5
Tengah,2016,1,12,0,—,—,—,28.7,33.4,25.2,13.7,35.3
Tengah,2016,1,13,0,—,—,—,28.3,33.7,25,10.8,29.5
Tengah,2016,1,14,13.5,—,—,—,27.2,32.3,24.4,8.6,27.7
Tengah,2016,1,15,16.3,—,—,—,26.4,31.2,24.3,7.2,40.7
Tengah,2016,1,16,0.1,—,—,—,27,32.6,24.2,5.8,27.7
Tengah,2016,1,17,10.9,—,—,—,26.4,32.7,24,8.6,44.3
Tengah,2016,1,18,8.8,—,—,—,27.2,34.6,24.4,7.6,29.5
Tengah,2016,1,19,0,—,—,—,27.5,31.2,24.6,7.2,27.7
Tengah,2016,1,20,6.3,—,—,—,27.6,31.8,24.8,8.3,31.3
Tengah,2016,1,21,0,—,—,—,27.7,32.1,24.5,10.8,29.5
Tengah,2016,1,22,12.8,—,—,—,27.1,32.3,24.5,10.1,37.1
Tengah,2016,1,23,19.8,—,—,—,26.9,33.5,24.8,11.2,44.3
Tengah,2016,1,24,0,—,—,—,28.3,33.8,24.7,17.3,46.4
Tengah,2016,1,25,14.8,—,—,—,26.8,31.3,24.8,11.5,44.3
Tengah,2016,1,26,3.5,—,—,—,26.7,29.7,24.4,11.5,33.5
Tengah,2016,1,27,0,—,—,—,28.2,33.3,24.6,13,33.5
Tengah,2016,1,28,37.3,—,—,—,27.4,33.7,23.6,9.7,31.3
Tengah,2016,1,29,15.7,—,—,—,26.5,32.6,24,9.4,37.1
Tengah,2016,1,30,0,—,—,—,28.1,33.9,24.3,12.2,29.5
Tengah,2016,1,31,3.9,—,—,—,27.2,33.2,24.2,9.7,31.3
