Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2014,4,1,0.2,—,—,—,29,33.9,26.7,7.3,24.1
Seletar,2014,4,2,0,—,—,—,29.2,35.4,26.4,8.5,22.3
Seletar,2014,4,3,0,—,—,—,29.6,34.9,27.2,11.2,37.1
Seletar,2014,4,4,1.3,—,—,—,28.9,34,26.5,7.5,29.5
Seletar,2014,4,5,7.1,—,—,—,26.8,28.3,24.5,7.4,27.7
Seletar,2014,4,6,0.5,—,—,—,28.6,32.9,25.3,13.2,35.3
Seletar,2014,4,7,1.5,—,—,—,29.3,34.7,25.7,9.3,31.3
Seletar,2014,4,8,1.9,—,—,—,28.4,34.6,25.8,8.5,29.5
Seletar,2014,4,9,4.9,—,—,—,28.1,35.2,25.2,7.9,44.3
Seletar,2014,4,10,0,—,—,—,28.3,31.8,26.1,7.2,31.3
Seletar,2014,4,11,22.9,—,—,—,27.8,34.1,23.6,6.9,35.3
Seletar,2014,4,12,5.6,—,—,—,27,30.7,24,6.3,35.3
Seletar,2014,4,13,0,—,—,—,29,34.9,25.7,8.7,27.7
Seletar,2014,4,14,7,—,—,—,28.6,35.1,24.4,8.1,35.3
Seletar,2014,4,15,0,—,—,—,28.9,35.2,25.6,9.6,27.7
Seletar,2014,4,16,24,—,—,—,28.7,34,24.1,5.9,38.9
Seletar,2014,4,17,17.1,—,—,—,28.2,33.4,24.8,7.9,35.3
Seletar,2014,4,18,0.5,—,—,—,27.8,31.8,26,6.3,27.7
Seletar,2014,4,19,0,—,—,—,29.2,34.6,25.5,8,25.9
Seletar,2014,4,20,0.1,—,—,—,28.3,31.6,26.1,5.7,37.1
Seletar,2014,4,21,5.8,—,—,—,27.2,30.6,25.5,9,33.5
Seletar,2014,4,22,14.7,—,—,—,27.8,35.7,25.2,6.2,35.3
Seletar,2014,4,23,0.8,—,—,—,28.6,34.5,25.1,6.7,38.9
Seletar,2014,4,24,7.6,—,—,—,28.8,34.9,24.8,8.9,38.9
Seletar,2014,4,25,0,—,—,—,28.8,34.6,25.3,6.9,25.9
Seletar,2014,4,26,1.6,—,—,—,29,34.5,26.5,6.2,27.7
Seletar,2014,4,27,0,—,—,—,29,34.1,26.1,7.9,27.7
Seletar,2014,4,28,0,—,—,—,29.4,33.7,26.4,7.2,22.3
Seletar,2014,4,29,0.2,—,—,—,29.3,33.8,26.7,7.2,33.5
Seletar,2014,4,30,0,—,—,—,29,34.5,26.1,7.2,25.9
