Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2017,12,1,0,—,—,—,—,—,—,9,40.7
Seletar,2017,12,2,0,—,—,—,—,—,—,9.4,35.3
Seletar,2017,12,3,0,—,—,—,—,—,—,8.6,22.3
Seletar,2017,12,4,0.8,—,—,—,—,—,—,6.5,33.5
Seletar,2017,12,5,0,—,—,—,—,—,—,8.6,25.9
Seletar,2017,12,6,0.4,—,—,—,—,—,—,8.6,27.7
Seletar,2017,12,7,21.4,—,—,—,—,—,—,6.8,24.1
Seletar,2017,12,8,0,—,—,—,—,—,—,10.1,42.5
Seletar,2017,12,9,0,—,—,—,—,—,—,10.8,37.1
Seletar,2017,12,10,57.8,—,—,—,—,—,—,11.2,46.4
Seletar,2017,12,11,40.8,—,—,—,—,—,—,9.7,46.4
Seletar,2017,12,12,68.8,—,—,—,—,—,—,6.5,27.7
Seletar,2017,12,13,40.6,—,—,—,—,—,—,6.8,48.2
Seletar,2017,12,14,38,—,—,—,—,—,—,8.3,70.2
Seletar,2017,12,15,53.2,—,—,—,—,—,—,9,70.2
Seletar,2017,12,16,2.4,—,—,—,—,—,—,10.8,44.3
Seletar,2017,12,17,0,—,—,—,—,—,—,14.8,53.6
Seletar,2017,12,18,0,—,—,—,—,—,—,18.7,53.6
Seletar,2017,12,19,2.2,—,—,—,—,—,—,16.2,53.6
Seletar,2017,12,20,0,—,—,—,—,—,—,16.2,44.3
Seletar,2017,12,21,0,—,—,—,—,—,—,13.3,44.3
Seletar,2017,12,22,20.6,—,—,—,—,—,—,7.6,35.3
Seletar,2017,12,23,10.8,—,—,—,—,—,—,7.2,46.4
Seletar,2017,12,24,0,—,—,—,—,—,—,9,29.5
Seletar,2017,12,25,25.6,—,—,—,—,—,—,7.6,31.3
Seletar,2017,12,26,10,—,—,—,—,—,—,7.2,25.9
Seletar,2017,12,27,7.6,—,—,—,—,—,—,9.4,33.5
Seletar,2017,12,28,3,—,—,—,—,—,—,11.5,40.7
Seletar,2017,12,29,0,—,—,—,—,—,—,16.9,42.5
Seletar,2017,12,30,9.8,—,—,—,—,—,—,15.1,48.2
Seletar,2017,12,31,88.6,—,—,—,—,—,—,9.4,38.9
