Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),2013,8,1,0.4,—,—,—,27.1,30.5,22.1,6.2,47.9
Jurong (West),2013,8,2,0,—,—,—,27.5,30.2,25,5.6,34.2
Jurong (West),2013,8,3,0,—,—,—,29.1,32.6,27,6,26.3
Jurong (West),2013,8,4,21.4,—,—,—,28.5,31.6,26.8,6.1,27.7
Jurong (West),2013,8,5,24.8,—,—,—,26.4,29.4,22.8,8,35.6
Jurong (West),2013,8,6,1.6,—,—,—,27.9,31.1,24.6,4.9,28.1
Jurong (West),2013,8,7,6.2,—,—,—,28.2,31.1,25.8,5.6,27.4
Jurong (West),2013,8,8,0,—,—,—,26.9,28.8,22.9,7.5,40
Jurong (West),2013,8,9,3.6,—,—,—,27.9,32.8,25.2,6.1,25.2
Jurong (West),2013,8,10,17.6,—,—,—,26.9,31.2,22.4,6.7,42.5
Jurong (West),2013,8,11,20.2,—,—,—,26.5,31.6,21.6,4.3,39.2
Jurong (West),2013,8,12,0.2,—,—,—,27.2,32,22.1,6.1,42.1
Jurong (West),2013,8,13,0.8,—,—,—,26.4,28.6,22.8,6.5,34.6
Jurong (West),2013,8,14,23.2,—,—,—,27.4,29.8,24,6.2,33.1
Jurong (West),2013,8,15,0,—,—,—,28.4,31.9,26.2,6.6,26.6
Jurong (West),2013,8,16,0,—,—,—,27.8,31,25.9,5.9,27.4
Jurong (West),2013,8,17,6.6,—,—,—,27.6,32.3,24.9,5.3,20.2
Jurong (West),2013,8,18,0,—,—,—,28,31.8,26.2,5.9,25.9
Jurong (West),2013,8,19,0,—,—,—,27.6,31.7,24.4,6.1,28.4
Jurong (West),2013,8,20,0,—,—,—,27.1,30.2,24.4,5,30.2
Jurong (West),2013,8,21,0,—,—,—,28.4,31.4,25.5,5.9,25.9
Jurong (West),2013,8,22,8.8,—,—,—,28.3,31.6,24.1,7.1,36.4
Jurong (West),2013,8,23,0,—,—,—,28.3,32.3,24.6,8.2,35.6
Jurong (West),2013,8,24,0,—,—,—,28.8,32.4,27,7.5,28.4
Jurong (West),2013,8,25,0,—,—,—,28.9,31.8,27,8.8,36.4
Jurong (West),2013,8,26,1.8,—,—,—,28,31,24.8,7.7,37.8
Jurong (West),2013,8,27,0,—,—,—,28.7,32,26.8,7,29.2
Jurong (West),2013,8,28,10.2,—,—,—,27.5,32.7,24.2,6.8,49.3
Jurong (West),2013,8,29,0,—,—,—,26.2,31.3,24.3,6.3,32.4
Jurong (West),2013,8,30,0,—,—,—,26.5,30.8,23.8,5.5,27.4
Jurong (West),2013,8,31,0,—,—,—,27.8,32.7,25.3,5.9,27.7
