Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Clementi,2013,11,1,0.8,—,—,—,26.5,31,23.5,3.1,33.5
Clementi,2013,11,2,0,—,—,—,26.7,30,24.8,2.8,20.9
Clementi,2013,11,3,3,—,—,—,27,31.6,24.6,3.2,26.6
Clementi,2013,11,4,87.4,—,—,—,26.6,31.9,22.9,4.3,45.7
Clementi,2013,11,5,20.4,—,—,—,26.7,32.4,23.9,3.9,31
Clementi,2013,11,6,0,—,—,—,26.5,30.5,22.1,4.4,29.2
Clementi,2013,11,7,0,—,—,—,28.1,31.7,24.7,4.8,22
Clementi,2013,11,8,0,—,—,—,28,31.9,26,3.8,23.4
Clementi,2013,11,9,16.8,—,—,—,26.5,29.4,25.2,2.7,15.1
Clementi,2013,11,10,2,—,—,—,26.8,30.4,23.2,3.2,38.2
Clementi,2013,11,11,4.4,—,—,—,26.9,30.2,23.9,4,37.8
Clementi,2013,11,12,3.4,—,—,—,25.3,27.7,23.3,2.9,25.9
Clementi,2013,11,13,25.2,—,—,—,27.3,33.5,24.4,3.3,24.1
Clementi,2013,11,14,1.8,—,—,—,26.2,29.6,22.7,3.6,21.6
Clementi,2013,11,15,3.2,—,—,—,26.2,30.4,24.8,3.4,24.1
Clementi,2013,11,16,6.2,—,—,—,26.8,32.4,24.5,3,29.2
Clementi,2013,11,17,0.6,—,—,—,25.6,27.8,24.2,4.2,21.6
Clementi,2013,11,18,4,—,—,—,26.4,30.9,24.5,4,32.8
Clementi,2013,11,19,3.6,—,—,—,27,32.3,24.4,3.6,20.2
Clementi,2013,11,20,5,—,—,—,27.2,30.1,23.3,5.3,28.8
Clementi,2013,11,21,10.4,—,—,—,28,31.9,24.8,6,30.6
Clementi,2013,11,22,16.4,—,—,—,27.5,31.1,24,3.6,15.1
Clementi,2013,11,23,0.8,—,—,—,26.6,31,22,3.4,29.5
Clementi,2013,11,24,0,—,—,—,27.4,32,25.2,3.2,18
Clementi,2013,11,25,2.4,—,—,—,26.7,31.7,23.9,3.3,33.8
Clementi,2013,11,26,6,—,—,—,26.8,31,24.9,3.4,18
Clementi,2013,11,27,2.2,—,—,—,27.6,33.1,25,3.6,20.5
Clementi,2013,11,28,0,—,—,—,26.9,30.8,24.3,4.1,20.5
Clementi,2013,11,29,8.4,—,—,—,26.8,32.6,25,3.5,23.8
Clementi,2013,11,30,40.2,—,—,—,26.4,33.2,23.2,3.7,41.8
