Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ang Mo Kio,2016,6,1,1.4,0.6,1,1.2,27.6,30.1,26.1,4.3,31.7
Ang Mo Kio,2016,6,2,17.8,16.4,16.4,16.4,27.7,33.2,24.6,3.2,32.8
Ang Mo Kio,2016,6,3,0,0,0,0,27.7,33.6,25.4,3.6,24.1
Ang Mo Kio,2016,6,4,0.4,0.4,0.4,0.4,26.6,27.3,25.6,3.6,24.8
Ang Mo Kio,2016,6,5,0,0,0,0,28.4,33.1,25.5,4,18
Ang Mo Kio,2016,6,6,0,0,0,0,29.8,33,27.4,4.7,23.4
Ang Mo Kio,2016,6,7,0.4,0.4,0.4,0.4,29.7,33.6,27.1,5,31
Ang Mo Kio,2016,6,8,39.8,17.6,29.8,39.4,27.3,29.9,22.2,4,43.6
Ang Mo Kio,2016,6,9,3.2,2,2,2,28.3,32.4,25.5,4,28.4
Ang Mo Kio,2016,6,10,1,0.6,0.6,0.8,28.3,32.7,25.8,3.6,22
Ang Mo Kio,2016,6,11,2.2,0.6,1.2,1.6,28.2,31.5,26.5,4.7,24.1
Ang Mo Kio,2016,6,12,0.2,0.2,0.2,0.2,28.8,32.8,26,4,24.5
Ang Mo Kio,2016,6,13,0,0,0,0,28.9,32.5,26.1,4.3,25.6
Ang Mo Kio,2016,6,14,0.2,0.2,0.2,0.2,28.8,32.2,26.6,5,25.9
Ang Mo Kio,2016,6,15,33.8,23.2,32.6,33.8,28.1,30.7,24,5.4,28.4
Ang Mo Kio,2016,6,16,0.6,0.4,0.4,0.4,28.1,31.4,26.2,4.3,27.7
Ang Mo Kio,2016,6,17,30.4,14.4,17.4,18.6,25.9,29,23.9,5.8,33.5
Ang Mo Kio,2016,6,18,0.4,0.2,0.4,0.4,26.9,30.3,24.7,3.6,18.7
Ang Mo Kio,2016,6,19,0,0,0,0,27.5,30.2,25.1,3.2,13.7
Ang Mo Kio,2016,6,20,0,0,0,0,28.8,32.1,25.8,5.4,28.1
Ang Mo Kio,2016,6,21,0.2,0.2,0.2,0.2,29.1,32.2,26.9,3.6,22
Ang Mo Kio,2016,6,22,3.8,2,2,2,27,31.8,24.5,4.7,30.2
Ang Mo Kio,2016,6,23,0,0,0,0,29.1,32.6,25.9,5,25.2
Ang Mo Kio,2016,6,24,46.4,25.2,31.4,39,26.7,29.7,22.4,5.8,53.3
Ang Mo Kio,2016,6,25,0,0,0,0,29.3,32.9,26.6,5.8,23.8
Ang Mo Kio,2016,6,26,0.2,0.2,0.2,0.2,28.9,31,26.9,5.4,30.2
Ang Mo Kio,2016,6,27,0,0,0,0,29.3,31.7,27.9,5,20.5
Ang Mo Kio,2016,6,28,0,0,0,0,30.2,34.2,27.4,6.1,27.4
Ang Mo Kio,2016,6,29,0,0,0,0,31,34.5,28,5.8,24.8
Ang Mo Kio,2016,6,30,0,0,0,0,30.5,34.1,28.2,7.2,23.8
