Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2012,4,1,13.4,—,—,—,28.4,33.2,24.8,7.5,31.3
Admiralty,2012,4,2,2.8,—,—,—,27.1,30.2,22.8,8,45.7
Admiralty,2012,4,3,7,—,—,—,27.8,31.3,25.7,5.3,28.4
Admiralty,2012,4,4,3,—,—,—,27.2,32.9,23.2,8.8,41.8
Admiralty,2012,4,5,5.8,—,—,—,27.5,33.3,24.9,6.5,25.6
Admiralty,2012,4,6,33.2,—,—,—,26.2,30.2,23.2,5.3,40
Admiralty,2012,4,7,40,—,—,—,26.4,33,24.1,5.2,43.6
Admiralty,2012,4,8,17.4,—,—,—,26.7,31.6,24.8,6.3,31.3
Admiralty,2012,4,9,21.2,—,—,—,26.1,30.3,24.2,6.5,35.3
Admiralty,2012,4,10,93,—,—,—,26.1,34.4,22.4,6.9,72.4
Admiralty,2012,4,11,0.2,—,—,—,26.7,30.9,24.1,6,26.3
Admiralty,2012,4,12,12.8,—,—,—,27.4,30.5,23.3,4.8,45
Admiralty,2012,4,13,0,—,—,—,29.1,33.9,25.2,5.8,21.2
Admiralty,2012,4,14,32.4,—,—,—,26.9,32.4,23.6,6.4,43.9
Admiralty,2012,4,15,0,—,—,—,27.7,32.4,23.9,6.1,22
Admiralty,2012,4,16,2.6,—,—,—,27.2,34.2,25.4,5.5,29.9
Admiralty,2012,4,17,0,—,—,—,27.4,31.9,24.8,5.9,25.9
Admiralty,2012,4,18,30.8,—,—,—,28.3,33.5,23.7,5.4,31.3
Admiralty,2012,4,19,0.6,—,—,—,26.3,31.5,24.5,5.9,23
Admiralty,2012,4,20,7,—,—,—,28.6,32.4,25.1,6.7,25.6
Admiralty,2012,4,21,10.4,—,—,—,26.7,29.4,24.4,10.8,40.3
Admiralty,2012,4,22,0.6,—,—,—,28.2,33.4,24.5,6.8,38.5
Admiralty,2012,4,23,0.4,—,—,—,27.9,33.9,24.9,5.4,25.2
Admiralty,2012,4,24,0,—,—,—,26.9,31,25.3,7,25.2
Admiralty,2012,4,25,0,—,—,—,28.4,32.6,26,6.4,28.1
Admiralty,2012,4,26,3.4,—,—,—,28.9,31.9,26.6,10.1,38.5
Admiralty,2012,4,27,0,—,—,—,29.3,33.5,24.7,7,39.6
Admiralty,2012,4,28,0,—,—,—,29.2,32.9,26.8,5.8,27.4
Admiralty,2012,4,29,0,—,—,—,28.6,33.2,26.6,5.4,28.1
Admiralty,2012,4,30,1.4,—,—,—,28.2,33.4,25.1,6.6,37.4
