Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Semakau Island,2014,3,1,0,0,0,0,27.5,29.6,26.2,25.8,46.1
Semakau Island,2014,3,2,0,0,0,0,27.6,30.8,25.7,20.4,47.9
Semakau Island,2014,3,3,0,0,0,0,27.4,29.1,26.1,23.3,43.6
Semakau Island,2014,3,4,0,0,0,0,27.6,30.7,26.1,19.2,43.2
Semakau Island,2014,3,5,0,0,0,0,27.5,30.6,25.5,26.2,50
Semakau Island,2014,3,6,0,0,0,0,27.3,29.5,25.3,25,47.2
Semakau Island,2014,3,7,0,0,0,0,27.8,31,25.7,21.3,45.4
Semakau Island,2014,3,8,0,0,0,0,27.8,30.4,26.1,22.3,46.8
Semakau Island,2014,3,9,0,0,0,0,27.6,30.7,25.7,27,47.9
Semakau Island,2014,3,10,0,0,0,0,27.8,30.2,26.2,29.4,51.1
Semakau Island,2014,3,11,0,0,0,0,28.2,31.3,26.1,28.5,52.9
Semakau Island,2014,3,12,0,0,0,0,28.3,31.9,26.4,25.4,45.4
Semakau Island,2014,3,13,0,0,0,0,28.1,31.3,26.3,25,47.5
Semakau Island,2014,3,14,0,0,0,0,28.4,31.4,26.5,21.9,51.1
Semakau Island,2014,3,15,0,0,0,0,28.2,29.4,27,23.2,41.4
Semakau Island,2014,3,16,33.4,14,24.4,32.2,26.8,28.1,24.6,16.9,52.9
Semakau Island,2014,3,17,3.8,3,3,3.2,26.7,28.7,25.4,14.6,43.6
Semakau Island,2014,3,18,0.2,0.2,0.2,0.2,27.1,29.6,26.1,12.9,38.9
Semakau Island,2014,3,19,0,0,0,0,27.5,29.9,26.3,13.2,27.7
Semakau Island,2014,3,20,0,0,0,0,27.8,30.7,26.4,13.2,30.6
Semakau Island,2014,3,21,0,0,0,0,27.7,29.5,26.6,13,39.2
Semakau Island,2014,3,22,0,0,0,0,27.9,30.3,26.1,21.2,41.8
Semakau Island,2014,3,23,0,0,0,0,27.8,30.1,25.7,25,45
Semakau Island,2014,3,24,0,0,0,0,28,29.9,26.2,21,41.4
Semakau Island,2014,3,25,0,0,0,0,28.6,31.6,26.5,23,44.3
Semakau Island,2014,3,26,0,0,0,0,28.4,30.3,26.8,18.1,78.8
Semakau Island,2014,3,27,0,0,0,0,28.7,31.7,26.7,17.7,36.7
Semakau Island,2014,3,28,0,0,0,0,28.4,29.9,27.2,22.1,34.6
Semakau Island,2014,3,29,0,0,0,0,28.7,30.8,27.6,15.3,31
Semakau Island,2014,3,30,0,0,0,0,28.5,31,26.6,13.5,32.4
Semakau Island,2014,3,31,0,0,0,0,28.6,31.1,27.6,17.8,34.9
