Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Clementi,2015,9,1,0,0,0,0,28.7,31.7,26.6,8.8,31.3
Clementi,2015,9,2,0,0,0,0,28.8,31.5,26.7,7.9,31.3
Clementi,2015,9,3,3.4,2,2,2,28.1,31.1,24.8,8,41
Clementi,2015,9,4,0.2,0.2,0.2,0.2,28.3,31.1,27,5.6,28.8
Clementi,2015,9,5,0,0,0,0,28.8,31.8,26.8,5.7,25.2
Clementi,2015,9,6,0,0,0,0,28.6,31.8,26.4,6.4,22.3
Clementi,2015,9,7,0,0,0,0,28.3,31.1,26.4,7,25.6
Clementi,2015,9,8,0,0,0,0,28.3,30.8,26.5,8.1,31.7
Clementi,2015,9,9,7.2,6.6,7,7.2,26.4,29.5,23.3,4.7,42.8
Clementi,2015,9,10,0,0,0,0,27.1,29.7,24.5,4.5,26.3
Clementi,2015,9,11,0,0,0,0,28.2,31.7,25.8,7.2,35.3
Clementi,2015,9,12,0,0,0,0,28,30.5,26.3,7.9,34.9
Clementi,2015,9,13,0,0,0,0,28.4,31.3,26.7,7.5,25.6
Clementi,2015,9,14,3.6,3.6,3.6,3.6,27.9,30.3,26.7,6.5,31
Clementi,2015,9,15,22.2,12.2,12.4,12.4,26.2,29.3,24.4,4.3,22.7
Clementi,2015,9,16,5.8,5.8,5.8,5.8,26.6,29.5,24.6,5.2,26.6
Clementi,2015,9,17,0,0,0,0,28.1,30.4,26.5,6.7,29.2
Clementi,2015,9,18,0,0,0,0,28.6,31.4,27,5.3,26.6
Clementi,2015,9,19,0,0,0,0,29.1,33.2,26.5,5,25.6
Clementi,2015,9,20,9.6,8.4,9.6,9.6,28.2,32.4,26.2,4.1,33.1
Clementi,2015,9,21,0,0,0,0,28.2,31.3,26.3,6.3,34.9
Clementi,2015,9,22,0.2,0.2,0.2,0.2,28.3,30.7,26.4,6.1,30.6
Clementi,2015,9,23,0,0,0,0,28.4,30.9,26.5,4.9,23
Clementi,2015,9,24,0,0,0,0,28.1,31.1,25.9,4.5,21.6
Clementi,2015,9,25,0,0,0,0,28.2,30.9,26.2,6.4,25.6
Clementi,2015,9,26,0,0,0,0,28.5,31.6,26.1,6.6,35.6
Clementi,2015,9,27,0,0,0,0,28.6,31.2,26.6,5.6,24.1
Clementi,2015,9,28,42.2,27,36.4,40.6,27.2,30.7,23.1,4.8,28.4
Clementi,2015,9,29,0.2,0.2,0.2,0.2,27.6,31,24.7,5.1,24.5
Clementi,2015,9,30,0.6,0.4,0.6,0.6,27.9,32,24.5,4,32
