Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,2012,8,1,3,—,—,—,27.8,30.8,26.3,6.8,29.5
Sentosa Island,2012,8,2,0,—,—,—,28.5,31.7,26.5,6.6,22
Sentosa Island,2012,8,3,13,—,—,—,27.9,31.1,24.6,8.7,35.3
Sentosa Island,2012,8,4,16.4,—,—,—,26.4,30.4,24.1,7.6,62.3
Sentosa Island,2012,8,5,0,—,—,—,27.8,30.3,26.5,—,—
Sentosa Island,2012,8,6,0,—,—,—,27.5,29.5,26,6.6,32
Sentosa Island,2012,8,7,0,—,—,—,27.9,31.2,25.5,6.2,29.2
Sentosa Island,2012,8,8,0,—,—,—,28.6,31.8,26.4,8.4,33.1
Sentosa Island,2012,8,9,0,—,—,—,28.2,31.1,26.1,9.1,28.4
Sentosa Island,2012,8,10,0,—,—,—,28.6,32.2,26.6,9.1,29.9
Sentosa Island,2012,8,11,0,—,—,—,28.6,31.7,26.7,8.1,25.2
Sentosa Island,2012,8,12,0,—,—,—,28.5,31.8,27.1,8.1,31
Sentosa Island,2012,8,13,0,—,—,—,28.5,31.6,26.9,8.3,29.5
Sentosa Island,2012,8,14,0,—,—,—,28.7,33.3,26.5,7.6,24.8
Sentosa Island,2012,8,15,0,—,—,—,28.4,32.1,26.7,10.2,32.4
Sentosa Island,2012,8,16,0,—,—,—,28.4,31.6,26.5,8.6,28.1
Sentosa Island,2012,8,17,19.4,—,—,—,26.8,29.2,23.2,6.3,30.6
Sentosa Island,2012,8,18,0,—,—,—,28.1,31.6,26.4,7.5,32.8
Sentosa Island,2012,8,19,0,—,—,—,28.3,31,26.8,8.3,36.7
Sentosa Island,2012,8,20,0,—,—,—,28.3,32.1,26.8,7.8,27.4
Sentosa Island,2012,8,21,1.2,—,—,—,27.7,31.5,26,7.2,30.6
Sentosa Island,2012,8,22,18.2,—,—,—,27.4,30.9,23.6,5.5,43.9
Sentosa Island,2012,8,23,16.4,—,—,—,26.8,29.4,23.6,6.2,36
Sentosa Island,2012,8,24,0,—,—,—,28.4,31.7,26.5,7.2,30.6
Sentosa Island,2012,8,25,1.8,—,—,—,28.2,30.4,25.6,6.9,32
Sentosa Island,2012,8,26,8.6,—,—,—,27.5,30,23.3,6,41
Sentosa Island,2012,8,27,25.4,—,—,—,26.2,29.7,22.4,4.7,40
Sentosa Island,2012,8,28,5.2,—,—,—,26.3,28.8,23.8,5.3,35.6
Sentosa Island,2012,8,29,0.2,—,—,—,27.6,29.5,26.5,6.3,20.5
Sentosa Island,2012,8,30,14,—,—,—,26.6,29.8,24.9,5.5,23
Sentosa Island,2012,8,31,67.6,—,—,—,26.4,28.4,21.7,5.6,47.2
