epi_week,disease,no_of_cases
2017-W19,Dengue Fever,48
2017-W19,Dengue Haemorrhagic Fever,0
2017-W19,Malaria,0
2017-W20,Dengue Fever,48
2017-W20,Dengue Haemorrhagic Fever,2
2017-W20,Malaria,0
2017-W21,Dengue Fever,50
2017-W21,Dengue Haemorrhagic Fever,0
2017-W21,Malaria,2
2017-W22,Dengue Fever,66
2017-W22,Dengue Haemorrhagic Fever,0
2017-W22,Malaria,0
2017-W23,Dengue Fever,62
2017-W23,Dengue Haemorrhagic Fever,0
2017-W23,Malaria,0
2017-W24,Dengue Fever,79
2017-W24,Dengue Haemorrhagic Fever,1
2017-W24,Malaria,0
2017-W25,Dengue Fever,73
2017-W25,Dengue Haemorrhagic Fever,0
2017-W25,Malaria,1
2017-W26,Dengue Fever,75
2017-W26,Dengue Haemorrhagic Fever,0
2017-W26,Malaria,1
2017-W27,Dengue Fever,63
2017-W27,Dengue Haemorrhagic Fever,0
2017-W27,Malaria,3
2017-W28,Dengue Fever,53
2017-W28,Dengue Haemorrhagic Fever,0
2017-W28,Malaria,0
2017-W29,Dengue Fever,51
2017-W29,Dengue Haemorrhagic Fever,0
2017-W29,Malaria,0
2017-W30,Dengue Fever,66
2017-W30,Dengue Haemorrhagic Fever,1
2017-W30,Malaria,1
2017-W31,Dengue Fever,60
2017-W31,Dengue Haemorrhagic Fever,0
2017-W31,Malaria,1
2017-W32,Dengue Fever,56
2017-W32,Dengue Haemorrhagic Fever,0
2017-W32,Malaria,1
2017-W33,Dengue Fever,52
2017-W33,Dengue Haemorrhagic Fever,1
2017-W33,Malaria,1
2017-W34,Dengue Fever,51
2017-W34,Dengue Haemorrhagic Fever,1
2017-W34,Malaria,1
2017-W35,Dengue Fever,33
2017-W35,Dengue Haemorrhagic Fever,0
2017-W35,Malaria,3
2017-W36,Dengue Fever,40
2017-W36,Dengue Haemorrhagic Fever,0
2017-W36,Malaria,1
2017-W37,Dengue Fever,53
2017-W37,Dengue Haemorrhagic Fever,0
2017-W37,Malaria,1
2017-W38,Dengue Fever,58
2017-W38,Dengue Haemorrhagic Fever,1
2017-W38,Malaria,1
2017-W39,Dengue Fever,39
2017-W39,Dengue Haemorrhagic Fever,0
2017-W39,Malaria,0
2017-W40,Dengue Fever,51
2017-W40,Dengue Haemorrhagic Fever,1
2017-W40,Malaria,1
2017-W41,Dengue Fever,55
2017-W41,Dengue Haemorrhagic Fever,0
2017-W41,Malaria,0
2017-W42,Dengue Fever,62
2017-W42,Dengue Haemorrhagic Fever,1
2017-W42,Malaria,1
2017-W43,Dengue Fever,77
2017-W43,Dengue Haemorrhagic Fever,0
2017-W43,Malaria,1
2017-W44,Dengue Fever,62
2017-W44,Dengue Haemorrhagic Fever,0
2017-W44,Malaria,1
2017-W45,Dengue Fever,44
2017-W45,Dengue Haemorrhagic Fever,0
2017-W45,Malaria,1
2017-W46,Dengue Fever,50
2017-W46,Dengue Haemorrhagic Fever,0
2017-W46,Malaria,1
2017-W48,Malaria,2
2017-W47,Dengue Fever,24
2017-W47,Dengue Haemorrhagic Fever,0
2017-W47,Malaria,1
2017-W48,Dengue Fever,37
2017-W48,Dengue Haemorrhagic Fever,1
2017-W49,Dengue Fever,33
2017-W49,Dengue Haemorrhagic Fever,1
2017-W49,Malaria,2
2017-W50,Dengue Fever,40
2017-W50,Dengue Haemorrhagic Fever,0
2017-W50,Malaria,0
2017-W51,Dengue Fever,51
2017-W51,Dengue Haemorrhagic Fever,0
2017-W51,Malaria,0
2017-W52,Dengue Fever,66
2017-W52,Dengue Haemorrhagic Fever,0
2017-W52,Malaria,0
